Real;User;CPU%;System;Exit
1.45;2.67;194%;0.16;0
1.46;2.62;193%;0.20;0
1.45;2.66;197%;0.21;0
1.45;2.61;193%;0.21;0
1.45;2.64;196%;0.20;0
1.47;2.68;197%;0.21;0
1.45;2.61;193%;0.21;0
1.43;2.53;193%;0.24;0
1.45;2.66;196%;0.19;0
1.44;2.62;196%;0.20;0
1.45;2.61;196%;0.24;0
1.45;2.64;194%;0.19;0
1.44;2.63;194%;0.17;0
1.45;2.62;194%;0.20;0
1.45;2.61;194%;0.21;0
1.45;2.63;196%;0.21;0
1.46;2.64;193%;0.19;0
1.45;2.70;198%;0.18;0
1.44;2.59;194%;0.21;0
1.45;2.67;196%;0.17;0
1.46;2.67;196%;0.20;0
1.46;2.61;193%;0.21;0
1.44;2.59;194%;0.22;0
1.45;2.64;195%;0.19;0
1.46;2.65;195%;0.21;0
1.43;2.55;198%;0.28;0
1.46;2.61;195%;0.24;0
1.45;2.58;194%;0.24;0
1.46;2.65;196%;0.22;0
1.45;2.62;194%;0.21;0
1.45;2.55;193%;0.26;0
1.45;2.61;192%;0.18;0
1.46;2.66;194%;0.19;0
1.43;2.57;194%;0.23;0
1.45;2.62;197%;0.24;0
1.45;2.66;196%;0.20;0
1.46;2.67;195%;0.18;0
1.48;2.75;198%;0.18;0
1.45;2.65;196%;0.20;0
1.46;2.61;195%;0.24;0
1.45;2.55;192%;0.24;0
1.45;2.62;194%;0.21;0
1.45;2.65;196%;0.20;0
1.45;2.55;193%;0.26;0
1.45;2.69;196%;0.18;0
1.45;2.56;193%;0.25;0
1.44;2.60;198%;0.25;0
1.45;2.68;197%;0.18;0
1.44;2.61;194%;0.19;0
1.45;2.61;194%;0.21;0
1.44;2.60;194%;0.21;0
1.44;2.63;195%;0.19;0
1.45;2.62;195%;0.21;0
1.45;2.68;196%;0.17;0
1.45;2.63;194%;0.19;0
1.46;2.68;196%;0.20;0
1.47;2.63;194%;0.23;0
1.44;2.60;196%;0.23;0
1.46;2.63;197%;0.25;0
1.44;2.59;194%;0.20;0
1.45;2.61;193%;0.20;0
1.46;2.59;195%;0.26;0
1.45;2.63;194%;0.18;0
1.43;2.57;196%;0.24;0
1.47;2.63;194%;0.23;0
1.44;2.55;193%;0.23;0
1.43;2.61;195%;0.19;0
1.44;2.62;195%;0.20;0
1.46;2.63;196%;0.23;0
1.45;2.60;194%;0.23;0
1.46;2.69;195%;0.17;0
1.46;2.66;196%;0.21;0
1.45;2.57;194%;0.25;0
1.45;2.65;197%;0.21;0
1.46;2.59;195%;0.25;0
1.44;2.56;193%;0.24;0
1.45;2.67;196%;0.19;0
1.45;2.62;194%;0.19;0
1.44;2.63;197%;0.22;0
1.44;2.55;193%;0.24;0
1.45;2.58;195%;0.26;0
1.45;2.59;195%;0.24;0
1.46;2.62;195%;0.23;0
1.44;2.58;195%;0.24;0
1.43;2.61;195%;0.18;0
1.45;2.64;195%;0.20;0
1.45;2.56;194%;0.25;0
1.45;2.64;194%;0.18;0
1.45;2.64;195%;0.19;0
1.45;2.63;194%;0.19;0
1.46;2.63;195%;0.23;0
1.45;2.62;196%;0.22;0
1.46;2.65;194%;0.19;0
1.44;2.65;196%;0.19;0
1.45;2.56;193%;0.25;0
1.45;2.66;194%;0.16;0
1.45;2.62;193%;0.19;0
1.45;2.65;196%;0.21;0
1.44;2.61;194%;0.20;0
1.46;2.64;198%;0.25;0
