n,RST0-42,RST0-127,RSThalf-42,RSThalf-127,RST1-42,RST1-127
5,2.2327,,2.4015,,,
10,2.9886,,4.062,,,
15,4.5107,,8.3178,,,
20,6.93,,25.5434,,,
25,15.0391,,113.8665,,,
30,31.4035,,579.2137,,,
35,77.5432,,,,,
40,178.9699,8960.57,1013.285,12504.9333333333,,
