Real;User;CPU%;System;Exit
2.02;4.16;217%;0.24;0
1.99;4.15;219%;0.23;0
2.01;4.27;222%;0.21;0
1.95;4.01;218%;0.26;0
1.95;4.03;220%;0.27;0
2.00;4.12;219%;0.26;0
1.99;4.18;223%;0.25;0
1.98;4.17;220%;0.20;0
1.94;3.99;215%;0.21;0
1.98;4.08;218%;0.25;0
1.97;4.07;219%;0.26;0
2.00;4.18;221%;0.26;0
2.00;4.14;220%;0.25;0
2.00;4.28;226%;0.25;0
2.02;4.18;221%;0.29;0
1.98;4.08;220%;0.28;0
1.99;4.04;218%;0.31;0
1.97;4.04;219%;0.28;0
2.00;4.16;220%;0.27;0
2.03;4.25;222%;0.26;0
2.00;4.21;220%;0.21;0
2.04;4.25;221%;0.27;0
1.94;4.02;221%;0.28;0
1.98;4.14;220%;0.22;0
2.00;4.18;221%;0.26;0
1.99;4.20;223%;0.25;0
1.97;4.06;219%;0.27;0
2.00;4.16;221%;0.27;0
1.98;4.10;219%;0.25;0
2.01;4.27;223%;0.22;0
1.97;4.15;222%;0.25;0
1.98;4.15;219%;0.20;0
2.03;4.32;224%;0.23;0
1.99;4.21;221%;0.19;0
2.01;4.15;221%;0.30;0
1.99;4.14;221%;0.26;0
2.01;4.17;221%;0.30;0
2.01;4.32;224%;0.19;0
1.99;4.20;222%;0.22;0
2.00;4.22;223%;0.26;0
1.99;4.15;221%;0.26;0
2.00;4.16;220%;0.25;0
2.00;4.13;221%;0.29;0
2.01;4.23;222%;0.25;0
2.01;4.20;221%;0.24;0
2.01;4.21;223%;0.29;0
2.01;4.21;221%;0.25;0
1.98;4.18;221%;0.20;0
2.01;4.25;222%;0.21;0
1.93;3.97;216%;0.21;0
1.98;4.10;218%;0.23;0
2.00;4.15;219%;0.24;0
1.99;4.22;223%;0.23;0
1.97;4.14;220%;0.19;0
2.00;4.20;222%;0.23;0
1.98;4.09;219%;0.25;0
2.00;4.14;219%;0.25;0
2.01;4.19;221%;0.25;0
2.00;4.21;223%;0.26;0
2.01;4.20;224%;0.30;0
2.02;4.24;223%;0.27;0
1.99;4.11;218%;0.23;0
1.97;4.06;220%;0.28;0
2.01;4.21;220%;0.21;0
2.01;4.18;222%;0.29;0
2.03;4.25;222%;0.26;0
2.00;4.20;220%;0.21;0
1.98;4.17;223%;0.25;0
2.01;4.21;222%;0.26;0
1.99;4.10;219%;0.27;0
1.98;4.14;221%;0.24;0
2.00;4.18;221%;0.24;0
2.00;4.22;223%;0.24;0
2.02;4.22;222%;0.27;0
2.00;4.25;224%;0.25;0
1.99;4.20;221%;0.21;0
1.98;4.22;223%;0.22;0
2.02;4.24;222%;0.27;0
2.00;4.15;221%;0.29;0
1.99;4.22;223%;0.23;0
2.01;4.29;222%;0.19;0
1.99;4.15;219%;0.23;0
1.98;4.08;220%;0.29;0
1.97;4.12;222%;0.26;0
2.01;4.22;220%;0.22;0
2.00;4.14;219%;0.26;0
2.00;4.21;222%;0.26;0
2.00;4.15;219%;0.23;0
2.03;4.35;223%;0.18;0
2.02;4.14;220%;0.30;0
1.96;4.11;221%;0.24;0
2.01;4.26;223%;0.24;0
2.00;4.14;222%;0.30;0
2.00;4.19;220%;0.22;0
2.03;4.27;221%;0.22;0
2.01;4.17;220%;0.28;0
1.95;3.99;217%;0.25;0
2.00;4.23;223%;0.25;0
2.01;4.25;221%;0.20;0
2.00;4.21;221%;0.24;0
