Number;Breadth;Depth;RoleGroups;RelationshipTypes;Concepts
5;2;1;5;0;60
10;2;1;10;0;220
15;2;1;15;0;480
20;2;1;20;0;840
25;2;1;25;0;1300
5;2;1;5;0;60
10;2;1;10;0;220
15;2;1;15;0;480
20;2;1;20;0;840
25;2;1;25;0;1300
30;2;1;30;0;1860
5;2;1;5;0;60
10;2;1;10;0;220
15;2;1;15;0;480
20;2;1;20;0;840
25;2;1;25;0;1300
5;2;1;5;0;60
10;2;1;10;0;220
15;2;1;15;0;480
20;2;1;20;0;840
25;2;1;25;0;1300
