Number;Breadth;Depth;RelationshipTypes;Concepts
5;2;1;0;45
10;2;1;0;170
15;2;1;0;360
20;2;1;0;640
25;2;1;0;975
30;2;1;0;1410
35;2;1;0;1890
40;2;1;0;2480
45;2;1;0;3105
5;2;1;0;45
10;2;1;0;170
15;2;1;0;360
20;2;1;0;640
25;2;1;0;975
30;2;1;0;1410
35;2;1;0;1890
40;2;1;0;2480
