Number;Breadth;Depth;RoleGroups;RelationshipTypes;Concepts
5;2;1;2;0;45
10;2;1;5;0;170
15;2;1;7;0;360
20;2;1;10;0;640
25;2;1;12;0;975
30;2;1;15;0;1410
35;2;1;17;0;1890
5;2;1;2;0;45
10;2;1;5;0;170
15;2;1;7;0;360
20;2;1;10;0;640
25;2;1;12;0;975
