Real;User;CPU%;System;Exit
368.18;467.85;128%;4.41;0
3034.93;9159.37;302%;13.76;127
4926.84;16618.09;337%;19.62;127
737.57;986.18;134%;7.19;0
800.33;1076.31;135%;6.88;0
795.68;1036.13;131%;7.41;0
4086.87;13353.68;327%;16.17;127
698.62;960.34;138%;7.19;0
10930.31;39988.85;366%;32.56;127
554.99;708.41;128%;5.07;0
1650.52;3648.91;221%;10.53;127
2273.99;6157.47;271%;11.74;127
992.28;1493.16;151%;9.12;0
799.48;1070.02;134%;7.64;0
303.23;383.04;127%;4.29;0
6837.15;24179.20;353%;18.31;0
2419.70;6792.27;281%;10.18;127
61.57;84.10;137%;0.76;0
612.55;818.72;134%;6.00;0
351.70;456.02;131%;4.74;0
5032.15;16924.14;336%;23.23;127
1649.93;3796.70;230%;9.57;127
1610.63;3697.01;230%;9.43;127
3353.69;10454.86;312%;13.19;127
233.00;296.67;128%;3.69;0
483.80;628.11;130%;5.29;0
752.21;1043.48;139%;5.89;0
413.87;512.81;125%;5.18;0
291.82;381.88;132%;5.10;0
61.93;81.70;133%;0.86;0
769.20;1017.69;133%;6.79;0
8481.88;30537.80;360%;32.52;127
303.47;386.18;128%;4.14;0
537.98;716.08;134%;5.17;0
2296.88;6246.07;272%;10.56;127
4561.08;15133.11;332%;17.47;127
300.97;395.10;133%;5.42;0
3153.74;9605.34;304%;12.83;127
237.65;295.57;125%;2.46;0
1854.70;4525.43;244%;10.77;127
1632.25;3890.77;238%;9.62;127
2483.96;7022.98;283%;11.59;127
1628.25;3857.90;237%;9.29;127
424.16;555.48;132%;5.47;0
967.28;1443.57;150%;8.15;0
487.36;640.34;132%;5.58;0
122.46;158.29;130%;1.52;0
440.13;583.09;133%;5.46;0
350.94;455.97;131%;5.21;0
680.84;930.84;137%;7.27;0
1272.25;2311.07;182%;9.02;0
868.98;1198.48;138%;8.19;0
658.85;872.12;133%;6.90;0
1713.30;4083.07;238%;9.78;127
7431.55;26372.12;355%;31.57;127
1620.61;3754.15;232%;9.66;127
298.01;395.15;134%;4.28;0
489.09;633.70;130%;6.17;0
2078.95;5361.27;258%;11.34;127
59.79;78.46;132%;0.82;0
120.53;158.32;132%;1.51;0
423.26;532.57;126%;4.97;0
6059.32;20931.15;345%;20.31;127
614.77;812.55;133%;5.65;0
774.20;1039.85;135%;6.94;0
1637.69;3722.21;227%;10.55;127
357.53;456.12;128%;4.88;0
4593.00;15208.09;331%;17.92;127
1590.95;3605.29;227%;9.82;127
176.07;227.53;130%;1.90;0
1252.90;2401.80;192%;8.97;0
4863.06;16449.56;338%;16.92;127
7943.24;28515.33;359%;25.95;127
1619.70;3741.92;231%;10.11;127
1630.27;3745.83;230%;9.20;127
57.58;77.76;136%;0.89;0
3815.52;12396.07;325%;14.14;127
869.66;1181.76;136%;8.08;0
1735.05;4090.52;236%;10.87;127
8171.75;29323.01;359%;28.54;127
60.96;81.85;135%;0.82;0
1520.07;3520.98;232%;9.57;127
225.44;279.77;125%;3.04;0
552.22;716.54;130%;6.70;0
5937.93;20528.84;346%;21.97;127
44054.70;169258.45;384%;241.49;127
1707.96;4109.65;241%;10.35;127
234.57;292.96;126%;2.65;0
232.23;291.25;126%;2.92;0
240.07;294.07;123%;2.69;0
234.10;302.75;130%;3.61;0
1774.15;4318.69;243%;9.61;127
299.55;383.35;129%;4.76;0
1968.53;4956.09;252%;9.99;127
2552.32;7293.31;286%;11.83;127
56.64;73.75;132%;1.03;0
2344.01;6466.96;276%;11.23;127
363.18;444.93;123%;4.01;0
1213.58;2195.96;181%;8.25;0
2337.41;6257.96;268%;11.46;127
