Real;User;CPU%;System;Exit
3.80;6.67;182%;0.28;0
3.81;6.68;182%;0.28;0
3.82;6.82;184%;0.25;0
4.16;7.10;178%;0.31;0
4.11;7.11;178%;0.24;0
4.11;7.05;178%;0.26;0
3.85;7.00;187%;0.20;0
3.80;6.80;184%;0.21;0
3.84;6.78;184%;0.32;0
3.82;6.87;185%;0.21;0
3.78;6.66;184%;0.31;0
3.83;6.85;186%;0.27;0
3.82;6.76;184%;0.27;0
3.81;6.66;181%;0.26;0
3.81;6.74;184%;0.28;0
4.11;6.94;176%;0.33;0
3.78;6.65;184%;0.31;0
3.78;6.68;184%;0.28;0
3.82;6.89;185%;0.20;0
3.80;6.70;183%;0.28;0
4.11;7.10;179%;0.29;0
3.81;6.83;184%;0.21;0
3.82;6.78;184%;0.28;0
4.09;6.97;180%;0.40;0
4.14;7.09;177%;0.27;0
4.13;7.06;177%;0.27;0
3.79;6.69;184%;0.29;0
3.81;6.63;182%;0.31;0
3.88;6.92;186%;0.31;0
3.83;6.87;185%;0.24;0
3.82;6.74;183%;0.25;0
3.80;6.75;183%;0.24;0
3.81;6.79;185%;0.26;0
3.83;6.90;186%;0.25;0
3.83;6.75;183%;0.27;0
4.16;7.16;177%;0.23;0
3.83;6.83;184%;0.26;0
3.84;6.79;185%;0.32;0
3.81;6.69;182%;0.28;0
4.09;7.05;179%;0.28;0
3.83;6.78;184%;0.28;0
3.81;6.72;183%;0.28;0
4.13;7.04;177%;0.30;0
4.11;6.94;177%;0.34;0
3.81;6.75;185%;0.31;0
3.89;7.01;187%;0.26;0
4.13;6.97;175%;0.30;0
3.83;6.83;184%;0.24;0
4.10;6.99;177%;0.27;0
3.83;6.85;184%;0.20;0
3.82;6.68;181%;0.26;0
3.81;6.80;184%;0.25;0
3.87;6.90;185%;0.27;0
3.81;6.69;185%;0.37;0
3.82;6.73;182%;0.26;0
3.79;6.67;182%;0.27;0
3.76;6.54;181%;0.29;0
4.03;6.86;177%;0.28;0
3.80;6.70;183%;0.26;0
3.79;6.66;183%;0.30;0
3.82;6.68;182%;0.27;0
3.76;6.58;181%;0.24;0
3.80;6.67;183%;0.32;0
3.79;6.63;182%;0.28;0
3.81;6.67;183%;0.32;0
4.10;7.02;178%;0.28;0
3.79;6.74;184%;0.24;0
3.79;6.72;183%;0.23;0
3.78;6.60;181%;0.27;0
3.82;6.76;184%;0.30;0
4.06;6.94;177%;0.27;0
3.80;6.78;184%;0.24;0
3.81;6.69;183%;0.31;0
3.80;6.64;182%;0.31;0
3.81;6.74;183%;0.26;0
3.83;6.71;182%;0.28;0
3.83;6.86;186%;0.29;0
3.79;6.69;183%;0.26;0
3.82;6.77;184%;0.29;0
3.81;6.74;184%;0.28;0
4.09;7.05;178%;0.25;0
3.81;6.67;183%;0.32;0
3.77;6.65;183%;0.27;0
4.13;7.05;177%;0.27;0
3.78;6.66;183%;0.30;0
4.16;7.04;175%;0.26;0
3.83;6.78;182%;0.20;0
3.81;6.81;184%;0.22;0
3.79;6.70;184%;0.32;0
3.82;6.76;184%;0.29;0
3.83;6.93;186%;0.22;0
3.85;6.96;186%;0.21;0
4.12;6.97;175%;0.27;0
3.80;6.75;183%;0.21;0
4.11;6.95;176%;0.30;0
3.80;6.68;183%;0.27;0
3.83;6.69;182%;0.29;0
3.80;6.74;183%;0.23;0
3.79;6.67;182%;0.24;0
3.81;6.71;183%;0.28;0
