2.41;5.05;221%;0.29;0
2.43;4.92;215%;0.33;0
2.41;4.99;219%;0.29;0
2.44;5.07;218%;0.26;0
2.39;4.93;220%;0.32;0
2.40;5.15;223%;0.22;0
2.38;5.04;221%;0.23;0
2.39;5.01;219%;0.23;0
2.38;4.95;219%;0.26;0
2.39;5.03;219%;0.22;0
2.42;5.13;222%;0.26;0
2.39;5.05;221%;0.24;0
2.39;5.04;220%;0.24;0
2.45;5.22;223%;0.26;0
2.37;4.89;217%;0.27;0
2.36;4.88;216%;0.23;0
2.39;4.97;218%;0.27;0
2.41;5.04;221%;0.29;0
2.43;5.20;221%;0.18;0
2.36;4.91;217%;0.22;0
2.40;5.11;221%;0.21;0
2.45;5.11;219%;0.28;0
2.38;4.94;217%;0.25;0
2.37;4.82;214%;0.27;0
2.41;5.01;217%;0.25;0
2.37;4.91;217%;0.24;0
2.45;5.09;218%;0.27;0
2.40;4.89;215%;0.28;0
2.39;5.00;219%;0.23;0
2.40;5.01;218%;0.24;0
2.39;4.97;220%;0.30;0
2.43;5.11;219%;0.22;0
2.39;5.01;218%;0.23;0
2.38;4.97;217%;0.22;0
2.40;4.98;218%;0.26;0
2.38;4.90;216%;0.26;0
2.37;4.93;218%;0.25;0
2.51;5.43;224%;0.21;0
2.40;5.01;220%;0.28;0
2.45;5.20;221%;0.24;0
2.39;4.97;219%;0.28;0
2.39;5.05;221%;0.26;0
2.39;4.98;218%;0.25;0
2.39;5.04;220%;0.25;0
2.41;5.04;220%;0.26;0
2.39;5.07;222%;0.25;0
2.46;5.14;218%;0.23;0
2.40;5.03;219%;0.24;0
2.43;5.07;218%;0.24;0
2.41;5.00;219%;0.30;0
2.35;4.92;219%;0.25;0
2.37;4.97;219%;0.24;0
2.43;5.14;221%;0.25;0
2.43;5.10;219%;0.24;0
2.45;5.20;224%;0.29;0
2.39;4.98;218%;0.26;0
2.39;5.04;223%;0.29;0
2.36;4.93;219%;0.26;0
2.41;5.05;219%;0.24;0
2.40;5.04;219%;0.23;0
2.42;5.17;222%;0.23;0
2.41;5.00;218%;0.27;0
2.47;5.24;221%;0.24;0
2.39;4.93;216%;0.24;0
2.41;5.08;221%;0.24;0
2.41;5.07;220%;0.24;0
2.39;4.99;219%;0.28;0
2.39;4.93;216%;0.26;0
2.39;5.07;218%;0.17;0
2.41;4.99;218%;0.26;0
2.41;5.03;218%;0.25;0
2.51;5.34;224%;0.29;0
2.40;5.09;220%;0.21;0
2.40;4.96;219%;0.30;0
2.45;5.17;220%;0.22;0
2.42;5.06;219%;0.23;0
2.39;5.08;220%;0.20;0
2.41;5.05;220%;0.26;0
2.40;5.13;223%;0.23;0
2.38;4.93;219%;0.28;0
2.42;4.98;218%;0.31;0
2.44;5.19;220%;0.21;0
2.40;5.05;221%;0.26;0
2.40;4.99;217%;0.23;0
2.43;5.18;222%;0.21;0
2.40;4.87;214%;0.29;0
2.40;5.04;220%;0.26;0
2.39;4.96;218%;0.27;0
2.44;5.10;219%;0.24;0
2.37;4.99;220%;0.23;0
2.42;5.05;219%;0.27;0
2.42;5.10;219%;0.23;0
2.40;4.89;215%;0.29;0
2.46;5.22;220%;0.21;0
2.41;5.16;223%;0.23;0
2.38;4.98;219%;0.24;0
2.43;5.14;221%;0.23;0
2.38;4.98;219%;0.24;0
2.42;5.12;221%;0.24;0
2.41;4.97;215%;0.23;0
