Real;User;CPU%;System;Exit
3.47;5.68;170%;0.23;0
3.17;5.48;179%;0.22;0
3.19;5.35;176%;0.27;0
3.50;5.72;169%;0.21;0
3.15;5.34;177%;0.25;0
3.05;5.47;189%;0.29;0
3.07;5.34;182%;0.25;0
3.02;5.31;183%;0.22;0
3.04;5.37;182%;0.19;0
3.08;5.48;185%;0.24;0
3.04;5.49;187%;0.22;0
3.02;5.28;184%;0.28;0
3.02;5.37;183%;0.18;0
3.06;5.48;186%;0.22;0
3.34;5.73;177%;0.20;0
3.02;5.30;184%;0.26;0
3.03;5.24;180%;0.23;0
3.05;5.46;186%;0.22;0
3.01;5.21;182%;0.27;0
3.03;5.46;187%;0.22;0
3.04;5.37;184%;0.24;0
3.04;5.45;186%;0.24;0
3.09;5.51;185%;0.24;0
3.03;5.35;185%;0.26;0
3.05;5.49;186%;0.21;0
3.05;5.45;186%;0.22;0
3.00;5.16;179%;0.21;0
3.04;5.45;186%;0.20;0
3.03;5.43;186%;0.22;0
3.04;5.33;183%;0.26;0
3.01;5.21;181%;0.26;0
3.08;5.51;185%;0.22;0
3.04;5.35;182%;0.21;0
3.05;5.41;185%;0.24;0
3.05;5.49;188%;0.27;0
3.01;5.17;180%;0.27;0
3.04;5.42;186%;0.26;0
3.29;5.63;177%;0.23;0
3.01;5.36;186%;0.25;0
3.05;5.48;187%;0.21;0
3.07;5.31;181%;0.24;0
3.03;5.38;185%;0.25;0
3.05;5.42;185%;0.25;0
3.08;5.44;184%;0.24;0
3.08;5.32;181%;0.27;0
3.08;5.55;187%;0.23;0
3.09;5.44;184%;0.25;0
3.05;5.37;185%;0.29;0
3.06;5.40;185%;0.26;0
3.04;5.50;187%;0.19;0
3.05;5.46;185%;0.21;0
3.06;5.53;187%;0.21;0
3.06;5.41;184%;0.24;0
3.04;5.30;182%;0.24;0
3.02;5.39;185%;0.22;0
3.01;5.34;185%;0.24;0
3.04;5.31;182%;0.25;0
3.02;5.43;186%;0.20;0
3.03;5.41;185%;0.20;0
3.03;5.38;185%;0.24;0
3.05;5.41;186%;0.28;0
3.02;5.34;183%;0.19;0
3.03;5.41;187%;0.29;0
3.02;5.43;186%;0.20;0
3.01;5.41;186%;0.20;0
3.04;5.36;183%;0.22;0
3.07;5.50;187%;0.26;0
3.05;5.52;188%;0.23;0
3.03;5.40;185%;0.20;0
3.03;5.33;186%;0.31;0
3.04;5.34;185%;0.30;0
3.07;5.47;187%;0.26;0
3.02;5.35;185%;0.26;0
3.31;5.66;177%;0.23;0
3.01;5.26;181%;0.21;0
3.00;5.32;186%;0.28;0
3.06;5.54;188%;0.21;0
3.01;5.20;180%;0.24;0
3.00;5.31;185%;0.27;0
3.05;5.47;186%;0.22;0
3.06;5.39;185%;0.27;0
3.05;5.45;186%;0.25;0
3.06;5.39;183%;0.22;0
3.05;5.46;188%;0.30;0
3.01;5.28;182%;0.21;0
3.03;5.36;182%;0.17;0
3.02;5.36;184%;0.22;0
3.04;5.35;185%;0.29;0
3.03;5.38;185%;0.26;0
3.01;5.38;186%;0.23;0
3.11;5.46;183%;0.24;0
3.06;5.37;184%;0.28;0
3.05;5.48;187%;0.22;0
3.08;5.36;183%;0.28;0
3.03;5.32;185%;0.29;0
3.02;5.38;185%;0.24;0
3.03;5.43;185%;0.20;0
3.05;5.35;183%;0.25;0
3.05;5.42;183%;0.18;0
3.04;5.34;184%;0.27;0
3.00;5.30;185%;0.26;0
3.03;5.43;186%;0.22;0
3.01;5.46;188%;0.21;0
3.04;5.43;185%;0.22;0
3.03;5.38;185%;0.24;0
