Real;User;CPU%;System;Exit
12.31;22.05;184%;0.63;42
12.23;21.56;182%;0.76;42
11.83;21.55;187%;0.60;42
12.34;22.14;184%;0.64;42
11.95;21.17;183%;0.73;42
12.16;21.86;184%;0.62;42
12.38;22.17;184%;0.68;42
12.22;21.74;183%;0.73;42
11.99;21.61;185%;0.68;42
13.38;23.55;181%;0.74;42
12.37;22.09;184%;0.69;42
11.88;20.98;182%;0.70;42
12.03;21.24;182%;0.72;42
13.17;23.86;185%;0.61;0
12.62;22.42;183%;0.69;42
13.61;24.03;181%;0.69;42
12.07;21.73;185%;0.64;42
12.82;22.82;183%;0.74;42
12.01;21.17;183%;0.84;42
11.97;21.69;186%;0.64;42
11.98;21.74;186%;0.57;42
12.61;22.65;184%;0.63;42
12.08;21.62;185%;0.77;42
12.01;21.84;187%;0.73;42
12.36;22.08;185%;0.83;42
12.63;23.06;187%;0.69;42
12.67;22.42;182%;0.65;42
12.33;22.03;184%;0.71;42
12.38;21.57;180%;0.75;42
14.27;24.38;176%;0.82;42
12.25;22.00;185%;0.67;42
12.04;21.83;187%;0.69;42
12.34;21.81;183%;0.85;42
11.97;22.08;189%;0.56;42
8.64;15.63;186%;0.44;0
12.25;21.73;183%;0.72;42
12.53;22.26;183%;0.69;42
11.89;21.37;185%;0.66;42
9.61;18.41;197%;0.53;0
12.11;21.79;185%;0.70;42
12.36;22.19;184%;0.66;42
12.30;21.99;184%;0.74;42
12.17;21.29;181%;0.76;42
11.90;21.10;182%;0.63;42
12.13;21.71;185%;0.75;42
12.03;21.46;183%;0.58;42
12.15;21.95;186%;0.71;42
11.86;21.03;183%;0.76;42
11.94;21.58;186%;0.71;42
12.41;21.93;182%;0.70;42
13.13;26.12;203%;0.57;42
12.22;21.48;181%;0.64;42
12.37;22.32;186%;0.75;42
12.09;22.20;189%;0.72;42
11.99;21.65;186%;0.75;42
11.77;21.18;186%;0.78;42
12.04;21.44;183%;0.66;42
12.46;21.93;181%;0.70;42
12.03;21.53;185%;0.74;42
12.27;21.91;183%;0.60;42
12.55;22.07;182%;0.78;42
12.06;21.31;182%;0.75;42
12.18;22.07;187%;0.71;42
12.44;21.85;180%;0.58;42
12.39;21.98;182%;0.65;42
12.29;21.96;185%;0.81;42
12.60;22.89;187%;0.74;0
14.21;24.61;178%;0.71;42
12.07;21.71;185%;0.74;42
10.65;20.33;195%;0.49;0
11.95;21.41;184%;0.66;42
12.20;21.53;182%;0.77;42
12.96;23.70;188%;0.79;42
11.95;21.51;185%;0.68;42
5.74;11.98;214%;0.30;0
4.55;10.17;226%;0.16;0
12.21;21.75;183%;0.71;42
11.98;21.88;187%;0.56;42
12.38;22.12;184%;0.69;42
11.98;21.57;186%;0.77;42
3.24;7.25;228%;0.15;0
12.22;21.68;182%;0.68;42
8.04;15.09;190%;0.21;0
11.74;21.41;188%;0.75;42
11.96;21.66;187%;0.74;42
12.23;22.40;188%;0.71;42
12.94;22.81;182%;0.75;42
12.51;22.32;184%;0.74;42
12.14;21.56;183%;0.71;42
12.00;21.73;185%;0.56;42
8.96;18.56;213%;0.56;0
6.75;13.40;202%;0.24;0
11.96;21.57;185%;0.55;42
12.50;22.51;186%;0.75;42
12.04;21.62;184%;0.61;42
12.35;21.91;183%;0.76;42
12.05;21.46;183%;0.63;42
12.82;22.50;181%;0.71;42
12.05;21.24;182%;0.74;42
12.46;21.97;181%;0.67;42
