Real;User;CPU%;System;Exit
1.74;3.52;216%;0.24;0
1.74;3.53;214%;0.21;0
1.74;3.49;214%;0.25;0
1.74;3.53;217%;0.25;0
1.75;3.50;213%;0.22;0
1.75;3.58;217%;0.23;0
1.74;3.48;215%;0.27;0
1.72;3.48;213%;0.20;0
1.76;3.55;215%;0.24;0
1.75;3.52;215%;0.25;0
1.74;3.52;213%;0.20;0
1.75;3.53;217%;0.28;0
1.77;3.54;213%;0.25;0
1.74;3.46;214%;0.26;0
1.75;3.51;215%;0.26;0
1.73;3.53;216%;0.23;0
1.74;3.51;217%;0.27;0
1.74;3.54;215%;0.20;0
1.75;3.53;215%;0.24;0
1.74;3.57;217%;0.21;0
1.74;3.52;215%;0.22;0
1.75;3.49;214%;0.27;0
1.74;3.53;215%;0.23;0
1.75;3.54;216%;0.23;0
1.74;3.51;213%;0.21;0
1.73;3.54;216%;0.21;0
1.74;3.56;214%;0.18;0
1.73;3.42;213%;0.27;0
1.75;3.56;215%;0.22;0
1.76;3.57;217%;0.25;0
1.74;3.64;218%;0.17;0
1.75;3.56;216%;0.23;0
1.74;3.49;213%;0.24;0
1.77;3.59;215%;0.22;0
1.76;3.54;214%;0.25;0
1.75;3.53;216%;0.27;0
1.76;3.48;213%;0.28;0
1.77;3.54;212%;0.22;0
1.74;3.52;216%;0.25;0
1.72;3.48;216%;0.24;0
1.74;3.50;216%;0.27;0
1.73;3.45;212%;0.24;0
1.74;3.51;215%;0.24;0
1.74;3.49;215%;0.25;0
1.73;3.49;214%;0.23;0
1.73;3.49;216%;0.25;0
1.75;3.56;215%;0.23;0
1.74;3.50;216%;0.27;0
1.75;3.52;214%;0.25;0
1.74;3.51;215%;0.24;0
1.77;3.59;215%;0.22;0
1.73;3.50;215%;0.22;0
1.75;3.51;214%;0.25;0
1.74;3.52;216%;0.24;0
1.74;3.52;217%;0.26;0
1.75;3.55;214%;0.21;0
1.75;3.57;214%;0.18;0
1.74;3.63;218%;0.18;0
1.74;3.51;217%;0.26;0
1.75;3.57;215%;0.20;0
1.74;3.53;215%;0.21;0
1.73;3.47;215%;0.26;0
1.73;3.53;217%;0.24;0
1.73;3.56;216%;0.19;0
1.74;3.49;215%;0.26;0
1.74;3.48;213%;0.23;0
1.75;3.44;212%;0.27;0
1.75;3.59;216%;0.18;0
1.77;3.59;214%;0.21;0
1.73;3.50;215%;0.23;0
1.77;3.55;213%;0.22;0
1.75;3.55;217%;0.25;0
1.77;3.57;216%;0.27;0
1.77;3.60;216%;0.23;0
1.75;3.50;215%;0.27;0
1.74;3.51;214%;0.23;0
1.75;3.53;213%;0.20;0
1.74;3.58;218%;0.22;0
1.74;3.57;217%;0.23;0
1.76;3.57;216%;0.23;0
1.73;3.47;213%;0.24;0
1.76;3.57;215%;0.23;0
1.74;3.52;214%;0.22;0
1.75;3.56;217%;0.25;0
1.74;3.42;213%;0.31;0
1.74;3.56;217%;0.23;0
1.74;3.51;216%;0.25;0
1.75;3.54;214%;0.21;0
1.76;3.56;217%;0.27;0
1.75;3.57;215%;0.21;0
1.75;3.59;217%;0.22;0
1.75;3.58;217%;0.22;0
1.74;3.54;216%;0.22;0
1.77;3.60;216%;0.22;0
1.75;3.48;213%;0.26;0
1.73;3.54;218%;0.25;0
1.77;3.59;214%;0.22;0
1.75;3.53;217%;0.29;0
1.75;3.64;218%;0.19;0
1.75;3.57;213%;0.18;0
