Real;User;CPU%;System;Exit
2.22;4.71;225%;0.29;0
2.20;4.59;219%;0.24;0
2.20;4.65;223%;0.27;0
2.21;4.69;224%;0.28;0
2.21;4.67;223%;0.26;0
2.21;4.55;218%;0.28;0
2.24;4.67;221%;0.29;0
2.23;4.72;221%;0.22;0
2.20;4.63;220%;0.22;0
2.21;4.65;219%;0.21;0
2.23;4.74;221%;0.21;0
2.19;4.64;222%;0.24;0
2.19;4.55;217%;0.20;0
2.22;4.63;221%;0.28;0
2.23;4.74;222%;0.22;0
2.22;4.79;224%;0.21;0
2.20;4.63;222%;0.26;0
2.21;4.64;222%;0.28;0
2.23;4.67;219%;0.23;0
2.23;4.63;221%;0.31;0
2.25;4.87;226%;0.22;0
2.24;4.75;223%;0.28;0
2.22;4.70;221%;0.21;0
2.22;4.76;224%;0.23;0
2.22;4.62;220%;0.27;0
2.22;4.75;224%;0.23;0
2.22;4.71;223%;0.25;0
2.22;4.78;224%;0.22;0
2.20;4.70;223%;0.23;0
2.20;4.66;221%;0.23;0
2.22;4.58;218%;0.28;0
2.20;4.60;219%;0.23;0
2.22;4.67;221%;0.24;0
2.24;4.77;223%;0.23;0
2.25;4.85;224%;0.20;0
2.22;4.79;225%;0.22;0
2.22;4.67;223%;0.29;0
2.23;4.70;219%;0.19;0
2.23;4.76;223%;0.24;0
2.22;4.62;221%;0.29;0
2.24;4.68;222%;0.31;0
2.20;4.68;224%;0.26;0
2.23;4.70;223%;0.27;0
2.24;4.73;221%;0.24;0
2.20;4.56;218%;0.25;0
2.22;4.69;222%;0.27;0
2.21;4.67;221%;0.24;0
2.19;4.54;219%;0.27;0
2.23;4.68;222%;0.27;0
2.23;4.71;222%;0.26;0
2.20;4.67;222%;0.24;0
2.23;4.84;225%;0.19;0
2.24;4.73;222%;0.25;0
2.20;4.61;220%;0.25;0
2.21;4.60;219%;0.24;0
2.19;4.56;221%;0.28;0
2.24;4.71;222%;0.29;0
2.25;4.77;223%;0.26;0
2.22;4.67;220%;0.24;0
2.20;4.69;222%;0.20;0
2.23;4.71;221%;0.23;0
2.21;4.68;224%;0.27;0
2.21;4.70;221%;0.20;0
2.23;4.72;223%;0.26;0
2.25;4.74;221%;0.23;0
2.22;4.70;220%;0.20;0
2.20;4.69;223%;0.21;0
2.22;4.80;227%;0.26;0
2.23;4.83;228%;0.26;0
2.20;4.60;221%;0.26;0
2.19;4.64;223%;0.26;0
2.20;4.63;223%;0.28;0
2.22;4.56;217%;0.28;0
2.22;4.69;221%;0.23;0
2.17;4.56;221%;0.23;0
2.23;4.74;222%;0.24;0
2.20;4.58;218%;0.25;0
2.25;4.63;216%;0.24;0
2.25;4.79;223%;0.22;0
2.19;4.68;221%;0.16;0
2.23;4.72;221%;0.22;0
2.23;4.67;218%;0.21;0
2.22;4.78;223%;0.18;0
2.24;4.76;223%;0.26;0
2.23;4.74;222%;0.21;0
2.23;4.67;220%;0.25;0
2.21;4.65;220%;0.23;0
2.21;4.72;222%;0.21;0
2.22;4.61;220%;0.27;0
2.25;4.74;221%;0.25;0
2.21;4.65;220%;0.24;0
2.22;4.62;219%;0.25;0
2.23;4.70;221%;0.24;0
2.24;4.73;223%;0.28;0
2.22;4.76;224%;0.23;0
2.24;4.71;221%;0.26;0
2.20;4.55;219%;0.30;0
2.22;4.70;221%;0.23;0
2.22;4.55;217%;0.27;0
2.24;4.73;223%;0.27;0
