Real;User;CPU%;System;Exit
2.94;7.66;264%;0.13;0
2.86;7.27;260%;0.18;0
3.12;8.41;275%;0.16;42
2.98;7.76;265%;0.16;42
3.02;7.81;263%;0.16;42
3.00;8.13;277%;0.21;42
2.99;7.82;267%;0.16;42
3.00;7.83;267%;0.18;42
2.95;7.82;271%;0.20;42
3.03;7.85;265%;0.19;42
3.17;8.50;275%;0.22;42
3.03;8.18;275%;0.19;0
3.18;8.45;270%;0.16;42
2.97;7.66;263%;0.15;0
2.99;7.55;258%;0.18;42
2.98;7.62;261%;0.16;42
2.97;7.59;261%;0.19;42
3.08;8.06;268%;0.22;42
2.01;5.13;259%;0.10;0
2.95;7.58;265%;0.25;42
3.04;7.97;268%;0.19;42
2.97;7.73;265%;0.14;42
2.99;7.68;264%;0.22;42
3.10;8.30;273%;0.20;42
3.08;8.14;268%;0.14;42
2.97;7.85;269%;0.17;42
1.71;4.23;250%;0.06;0
3.07;7.84;261%;0.19;0
3.15;8.23;267%;0.19;42
3.00;8.09;274%;0.13;42
3.04;8.09;273%;0.22;42
2.98;7.59;262%;0.25;42
2.99;7.85;270%;0.24;42
3.00;7.67;260%;0.17;42
3.08;8.12;270%;0.20;42
2.52;6.55;266%;0.16;0
3.04;8.01;269%;0.19;42
3.03;8.06;272%;0.19;42
2.97;7.76;267%;0.19;42
3.10;8.12;268%;0.20;42
1.98;4.89;252%;0.12;0
2.94;7.55;262%;0.17;0
3.00;7.79;265%;0.20;42
2.94;7.60;264%;0.18;42
2.99;7.89;269%;0.16;42
2.98;7.80;267%;0.17;42
3.01;7.41;254%;0.25;42
2.50;6.54;266%;0.13;0
1.75;4.30;250%;0.09;0
2.99;7.72;264%;0.18;42
2.98;7.72;265%;0.21;42
3.14;8.36;272%;0.19;42
3.00;8.02;273%;0.18;42
2.60;6.92;270%;0.11;0
3.05;7.83;261%;0.16;42
2.93;7.83;273%;0.17;42
2.94;7.60;263%;0.14;42
2.21;5.75;264%;0.10;0
2.68;7.04;268%;0.14;0
3.01;7.91;268%;0.19;42
3.07;8.26;275%;0.21;42
3.08;8.00;264%;0.16;0
3.02;7.93;270%;0.23;42
3.01;7.73;263%;0.21;42
2.93;7.58;262%;0.11;0
2.39;6.30;268%;0.12;0
2.95;7.81;269%;0.16;42
2.58;6.76;267%;0.14;0
2.95;7.57;264%;0.25;42
3.04;8.07;271%;0.19;42
3.01;7.98;271%;0.20;42
2.95;7.70;266%;0.17;42
2.75;7.17;265%;0.14;0
2.61;6.84;268%;0.16;0
3.19;8.85;283%;0.20;42
3.06;8.21;272%;0.15;42
2.94;7.54;266%;0.29;42
3.02;7.99;271%;0.21;42
2.94;7.77;268%;0.14;42
2.96;7.66;266%;0.23;42
2.82;7.41;268%;0.17;0
3.11;8.25;270%;0.17;0
3.00;7.76;265%;0.21;42
2.95;7.77;271%;0.25;42
3.01;7.97;269%;0.14;42
2.48;6.49;268%;0.17;0
3.18;8.34;267%;0.18;42
3.20;8.19;261%;0.20;42
2.99;7.84;269%;0.21;42
2.23;5.79;263%;0.10;0
2.47;6.47;269%;0.19;0
2.97;7.74;266%;0.17;42
2.63;6.79;263%;0.13;0
2.99;7.69;263%;0.19;42
3.16;8.47;275%;0.23;42
3.00;7.94;272%;0.24;42
2.42;6.26;264%;0.15;0
2.98;7.90;270%;0.18;42
3.01;8.07;273%;0.16;42
1.76;4.30;249%;0.10;0
