Real;User;CPU%;System;Exit
579.29;1223.86;212%;6.92;42
531.76;1013.02;191%;6.54;42
597.84;1248.10;209%;7.11;42
659.21;1538.69;234%;7.50;42
574.18;1221.93;214%;7.43;42
594.54;1294.40;219%;7.87;42
610.66;1217.40;200%;7.52;42
569.65;1218.82;215%;8.39;42
668.65;1594.84;239%;7.88;42
539.01;1070.36;199%;7.03;42
633.09;1420.40;225%;8.27;42
633.47;1431.57;227%;7.61;42
673.95;1502.61;223%;6.62;42
600.11;1293.90;216%;8.18;42
619.22;1368.57;222%;7.47;42
562.43;1173.44;209%;6.38;42
556.34;1152.66;208%;7.17;42
491.10;833.48;171%;6.71;42
583.36;1133.75;195%;7.16;42
551.75;1063.46;194%;7.10;42
557.90;1089.50;196%;6.58;42
597.70;1263.78;212%;6.75;42
578.03;1246.28;216%;6.84;42
519.96;982.92;190%;7.34;42
633.20;1451.00;230%;7.04;42
616.90;1254.05;204%;7.08;42
541.88;1069.97;198%;7.50;42
542.46;1069.35;198%;6.47;42
608.99;1261.27;208%;7.30;42
591.51;1271.96;216%;6.86;42
539.49;1037.97;193%;6.81;42
609.55;1280.59;211%;7.97;42
526.59;1035.03;197%;6.94;42
590.70;1251.27;213%;7.27;42
573.38;1188.22;208%;6.66;42
568.48;1120.00;198%;7.28;42
585.45;1250.75;214%;7.17;42
617.88;1339.93;217%;6.91;42
656.64;1493.18;228%;7.42;42
533.57;1046.71;197%;6.82;42
581.18;1236.67;213%;6.70;42
580.21;1195.48;207%;7.24;42
546.65;1101.12;202%;7.56;42
594.43;1292.58;218%;8.17;42
498.94;916.91;184%;5.68;42
527.67;1017.48;194%;6.38;42
611.73;1365.91;224%;6.96;42
569.53;1205.04;212%;6.61;42
686.89;1545.84;226%;8.46;42
588.89;1252.42;213%;6.64;42
586.63;1171.30;200%;6.90;42
667.57;1563.82;235%;7.68;42
574.33;1221.08;213%;7.44;42
550.11;1107.77;202%;7.17;42
534.77;1047.09;197%;6.48;42
578.23;1216.65;211%;6.14;42
574.51;1138.99;199%;7.59;42
625.30;1316.52;211%;7.87;42
559.06;1095.18;197%;6.80;42
543.89;1068.87;197%;6.65;42
563.54;1094.92;195%;6.80;42
642.15;1425.37;223%;7.27;42
622.20;1283.58;207%;6.81;42
627.56;1420.68;227%;7.84;42
573.15;1130.40;198%;6.26;42
583.22;1207.79;208%;7.22;42
612.80;1293.96;212%;6.97;42
592.17;1242.65;211%;7.76;42
592.48;1234.94;209%;7.42;42
627.33;1401.10;224%;6.60;42
556.87;1105.07;199%;6.71;42
553.32;1073.75;195%;7.11;42
653.25;1465.08;225%;6.89;42
600.17;1303.74;218%;8.99;42
586.82;1235.78;211%;7.30;42
616.17;1283.59;209%;7.44;42
611.16;1306.04;214%;6.55;42
516.40;971.78;189%;6.12;42
546.08;1092.79;201%;6.97;42
536.61;1026.35;192%;6.24;42
601.57;1286.86;215%;7.15;42
568.78;1213.28;214%;7.80;42
539.23;1063.05;198%;6.77;42
583.50;1261.48;217%;7.63;42
601.28;1268.10;212%;7.28;42
553.43;1069.52;194%;6.70;42
582.90;1231.58;212%;6.71;42
609.29;1243.72;205%;7.36;42
606.87;1301.44;215%;6.83;42
620.11;1293.72;209%;7.48;42
552.61;1077.40;196%;6.81;42
626.76;1373.75;220%;6.56;42
616.77;1379.66;224%;5.98;42
649.79;1446.69;223%;7.17;42
578.65;1176.12;204%;6.75;42
607.19;1286.30;212%;6.66;42
614.06;1337.35;219%;7.76;42
602.92;1319.84;219%;6.36;42
623.79;1299.90;209%;7.87;42
666.04;1546.93;233%;7.02;42
