Real;User;CPU%;System;Exit
2.20;3.23;156%;0.22;0
1.74;3.25;199%;0.22;0
1.76;3.29;198%;0.22;0
1.78;3.28;197%;0.23;0
1.73;3.21;197%;0.19;0
1.76;3.32;202%;0.24;0
1.71;3.27;204%;0.22;0
1.70;3.23;202%;0.22;0
1.71;3.35;208%;0.23;0
1.74;3.32;202%;0.21;0
1.66;3.30;208%;0.17;0
1.66;3.24;207%;0.21;0
1.63;3.11;206%;0.25;0
1.64;3.14;207%;0.25;0
1.65;3.20;207%;0.22;0
1.64;3.19;210%;0.25;0
1.66;3.21;206%;0.22;0
1.69;3.24;206%;0.23;0
1.64;3.22;208%;0.21;0
1.64;3.15;205%;0.22;0
1.63;3.18;208%;0.21;0
1.64;3.17;208%;0.24;0
1.64;3.15;207%;0.24;0
1.63;3.18;207%;0.21;0
1.64;3.13;205%;0.25;0
1.65;3.18;205%;0.21;0
1.65;3.33;212%;0.18;0
1.65;3.21;206%;0.21;0
1.63;3.24;213%;0.24;0
1.68;3.25;206%;0.21;0
1.68;3.19;206%;0.27;0
1.66;3.18;206%;0.25;0
1.67;3.31;211%;0.20;0
1.63;3.22;210%;0.22;0
1.65;3.20;207%;0.22;0
1.64;3.21;209%;0.23;0
1.67;3.21;207%;0.25;0
1.64;3.24;208%;0.18;0
1.65;3.14;205%;0.25;0
1.63;3.17;208%;0.22;0
1.65;3.18;206%;0.21;0
1.62;3.19;208%;0.19;0
1.68;3.32;208%;0.19;0
1.67;3.28;208%;0.22;0
1.65;3.28;211%;0.20;0
1.67;3.28;209%;0.21;0
1.66;3.24;207%;0.21;0
1.63;3.13;206%;0.25;0
1.65;3.19;208%;0.26;0
1.68;3.30;209%;0.24;0
1.66;3.27;207%;0.19;0
1.65;3.17;205%;0.23;0
1.67;3.26;207%;0.20;0
1.67;3.31;210%;0.20;0
1.66;3.22;208%;0.23;0
1.66;3.28;210%;0.21;0
1.65;3.18;206%;0.22;0
1.65;3.28;212%;0.23;0
1.67;3.21;206%;0.25;0
1.64;3.22;208%;0.19;0
1.64;3.19;209%;0.24;0
1.66;3.17;207%;0.26;0
1.65;3.17;207%;0.25;0
1.65;3.23;207%;0.20;0
1.66;3.25;208%;0.21;0
1.66;3.25;209%;0.22;0
1.65;3.28;210%;0.19;0
1.67;3.31;210%;0.21;0
1.65;3.19;207%;0.23;0
1.68;3.28;208%;0.22;0
1.64;3.19;207%;0.22;0
1.67;3.28;208%;0.19;0
1.65;3.20;207%;0.21;0
1.63;3.15;208%;0.26;0
1.64;3.16;207%;0.23;0
1.65;3.23;210%;0.26;0
1.68;3.35;213%;0.23;0
1.65;3.16;207%;0.26;0
1.64;3.26;207%;0.16;0
1.72;3.31;202%;0.17;0
1.65;3.20;208%;0.24;0
1.66;3.20;206%;0.24;0
1.67;3.24;207%;0.23;0
1.66;3.22;207%;0.23;0
1.66;3.21;207%;0.24;0
1.67;3.26;208%;0.22;0
1.65;3.25;210%;0.22;0
1.64;3.23;209%;0.20;0
1.63;3.21;208%;0.20;0
1.65;3.20;206%;0.21;0
1.67;3.27;209%;0.22;0
1.65;3.18;209%;0.28;0
1.65;3.21;208%;0.22;0
1.67;3.27;209%;0.23;0
1.65;3.36;212%;0.16;0
1.69;3.33;209%;0.22;0
1.70;3.31;206%;0.20;0
1.67;3.30;207%;0.19;0
1.66;3.22;209%;0.26;0
1.65;3.29;210%;0.19;0
1.64;3.19;206%;0.21;0
1.64;3.20;209%;0.22;0
1.67;3.24;208%;0.23;0
1.65;3.15;206%;0.25;0
1.68;3.29;210%;0.24;0
