Real;User;CPU%;System;Exit
1.88;2.87;164%;0.23;0
1.98;2.83;154%;0.23;0
1.66;2.87;184%;0.19;0
1.79;2.97;177%;0.21;0
1.86;2.87;165%;0.20;0
1.58;2.91;199%;0.25;0
1.55;2.84;199%;0.25;0
1.53;2.83;201%;0.24;0
1.53;2.79;198%;0.24;0
1.56;2.96;205%;0.23;0
1.54;2.92;202%;0.20;0
1.56;2.97;202%;0.18;0
1.52;2.90;205%;0.22;0
1.54;2.93;205%;0.23;0
1.53;2.94;203%;0.18;0
1.50;2.76;199%;0.23;0
1.52;2.83;199%;0.19;0
1.53;2.90;201%;0.19;0
1.52;2.85;200%;0.20;0
1.50;2.78;196%;0.17;0
1.53;2.87;199%;0.18;0
1.55;2.85;202%;0.28;0
1.55;2.96;203%;0.19;0
1.53;2.77;199%;0.28;0
1.55;2.87;201%;0.25;0
1.51;2.79;200%;0.24;0
1.54;2.88;203%;0.25;0
1.54;2.87;201%;0.23;0
1.53;2.90;202%;0.20;0
1.52;2.89;203%;0.20;0
1.55;2.94;202%;0.21;0
1.55;2.91;201%;0.21;0
1.51;2.84;200%;0.20;0
1.54;2.93;204%;0.22;0
1.54;2.89;201%;0.22;0
1.53;2.87;200%;0.20;0
1.52;2.77;196%;0.22;0
1.54;2.89;202%;0.23;0
1.55;2.89;201%;0.25;0
1.52;2.86;201%;0.21;0
1.56;2.94;202%;0.20;0
1.54;2.89;201%;0.22;0
1.54;2.95;201%;0.16;0
1.54;2.93;203%;0.20;0
1.54;2.93;204%;0.22;0
1.54;2.85;201%;0.25;0
1.53;2.81;198%;0.23;0
1.51;2.75;199%;0.25;0
1.54;2.91;203%;0.22;0
1.56;2.95;201%;0.18;0
1.56;2.97;204%;0.21;0
1.53;2.84;201%;0.25;0
1.55;2.99;204%;0.17;0
1.54;2.88;202%;0.24;0
1.54;2.86;201%;0.25;0
1.55;2.95;201%;0.17;0
1.51;2.79;199%;0.23;0
1.54;2.90;202%;0.21;0
1.54;2.89;200%;0.21;0
1.55;2.88;201%;0.25;0
1.54;2.88;202%;0.24;0
1.55;2.90;201%;0.24;0
1.53;2.82;199%;0.24;0
1.56;2.95;203%;0.23;0
1.53;2.84;199%;0.20;0
1.54;2.88;201%;0.22;0
1.52;2.84;200%;0.20;0
1.54;2.91;201%;0.21;0
1.51;2.82;199%;0.19;0
1.54;2.89;201%;0.20;0
1.53;2.93;201%;0.16;0
1.55;2.91;201%;0.22;0
1.56;2.94;204%;0.25;0
1.54;2.86;201%;0.25;0
1.54;2.87;201%;0.23;0
1.53;2.89;204%;0.23;0
1.54;2.91;201%;0.19;0
1.55;2.87;200%;0.23;0
1.49;2.78;199%;0.19;0
1.52;2.80;200%;0.25;0
1.53;2.90;202%;0.20;0
1.51;2.78;199%;0.23;0
1.55;2.91;201%;0.23;0
1.56;2.93;202%;0.22;0
1.54;2.86;201%;0.23;0
1.54;2.91;204%;0.23;0
1.56;2.91;201%;0.23;0
1.57;2.94;200%;0.21;0
1.56;2.92;202%;0.23;0
1.52;2.81;199%;0.21;0
1.51;2.81;198%;0.20;0
1.52;2.86;203%;0.25;0
1.53;2.83;198%;0.21;0
1.55;2.99;204%;0.17;0
1.52;2.83;201%;0.22;0
1.51;2.81;199%;0.21;0
1.53;2.93;203%;0.19;0
1.54;2.93;202%;0.18;0
1.54;2.96;204%;0.19;0
1.55;2.90;202%;0.24;0
1.53;2.89;203%;0.22;0
1.54;2.89;201%;0.21;0
1.52;2.83;202%;0.25;0
1.52;2.84;201%;0.21;0
1.55;2.85;200%;0.25;0
