Real;User;CPU%;System;Exit
1277.20;3826.90;300%;10.30;127
1322.15;3870.48;293%;9.59;127
1198.13;3485.12;291%;10.28;127
3393.31;12029.36;355%;19.72;127
1279.51;3822.93;299%;9.51;127
1289.31;3823.13;297%;10.36;127
1212.32;3528.58;291%;9.68;127
1185.20;3462.26;292%;9.22;127
1281.57;3805.43;297%;9.30;127
1385.12;4247.76;307%;10.82;127
1338.98;3933.81;294%;9.98;127
1280.58;3813.82;298%;9.95;127
1233.74;3679.42;299%;9.57;127
1262.84;3757.92;298%;9.32;127
1358.74;4107.68;303%;10.96;127
1213.66;3537.90;292%;8.76;127
1424.18;4264.04;300%;10.94;127
1328.84;3878.55;292%;10.48;127
1149.96;3315.77;289%;9.16;127
1327.84;3995.58;301%;10.32;127
1262.49;3722.00;295%;9.52;127
2947.75;10225.68;347%;18.86;127
5648.78;20922.43;370%;32.19;127
983.53;2735.02;278%;8.44;127
3989.15;14398.66;361%;24.03;127
1186.85;3518.97;297%;9.50;127
1364.13;4043.55;297%;10.55;127
3008.04;10653.85;354%;17.39;127
1249.43;3660.14;293%;9.31;127
1221.54;3514.70;288%;10.16;127
1193.74;3354.77;281%;9.36;127
1387.39;4128.48;298%;10.86;127
3145.79;10903.35;347%;20.22;127
1236.45;3625.36;294%;10.28;127
1157.21;3250.52;281%;9.24;127
1190.84;3490.88;293%;9.43;127
1340.12;3967.81;296%;10.37;127
1296.91;3893.07;300%;9.59;127
1279.16;3841.92;301%;9.89;127
3842.28;13741.59;358%;21.14;127
1210.94;3478.99;288%;9.93;127
4609.46;16763.29;364%;26.55;127
1259.67;3739.07;297%;10.19;127
1219.19;3564.46;293%;9.71;127
1261.63;3695.78;293%;9.74;127
1316.24;3922.13;298%;9.79;127
1208.15;3485.58;289%;9.94;127
1227.06;3523.25;287%;9.51;127
1283.18;3824.62;298%;10.18;127
1385.61;4272.30;309%;11.45;127
1303.53;3875.86;298%;10.47;127
1185.02;3350.60;283%;10.34;127
1264.01;3747.34;297%;10.05;127
1311.44;3886.79;297%;10.22;127
1348.80;4106.63;305%;9.96;127
1195.37;3386.25;284%;9.06;127
1247.67;3687.44;296%;9.72;127
1299.28;3876.26;299%;10.63;127
1342.51;3999.44;298%;10.30;127
1031.86;2925.34;284%;8.22;127
1335.74;3980.62;298%;9.42;127
1424.27;4275.37;300%;10.58;127
1363.46;4095.91;301%;10.44;127
1321.94;3844.45;291%;10.58;127
1268.05;3646.80;288%;9.98;127
1237.51;3624.15;293%;9.84;127
1328.58;3958.68;298%;10.41;127
2788.87;9697.20;348%;16.91;127
1238.44;3738.26;302%;9.68;127
1409.20;4296.90;305%;10.29;127
1318.65;3869.97;294%;9.84;127
1334.56;4012.13;301%;10.81;127
1130.42;3320.03;294%;9.07;127
1247.96;3705.09;297%;9.90;127
1236.06;3702.91;300%;10.27;127
4666.76;17066.14;366%;29.20;127
1305.91;3872.41;297%;9.34;127
1363.33;4080.65;300%;10.69;127
1245.20;3660.39;294%;10.14;127
1315.95;3936.61;299%;10.36;127
1379.96;4107.37;298%;10.05;127
1336.82;3953.15;296%;9.86;127
1221.29;3530.11;289%;9.74;127
1361.55;3962.12;291%;10.83;127
1144.59;3288.70;288%;8.14;127
1276.16;3741.54;293%;9.89;127
1332.33;3936.85;296%;10.29;127
1230.67;3634.06;296%;9.54;127
1304.71;3956.48;304%;11.25;127
1289.13;3809.17;296%;9.82;127
1354.30;4039.18;298%;9.15;127
1348.89;4011.85;298%;10.44;127
2427.59;8242.80;340%;15.53;127
1267.27;3744.05;296%;10.31;127
1266.49;3646.19;288%;10.18;127
1366.78;4208.49;308%;10.28;127
1336.98;3905.02;292%;10.25;127
1328.67;3988.03;300%;10.44;127
1308.55;3854.03;295%;9.85;127
