Real;User;CPU%;System;Exit
1.21;2.43;205%;0.06;0
1.38;3.01;224%;0.08;0
1.22;2.46;206%;0.06;0
1.43;3.12;225%;0.10;42
1.22;2.51;207%;0.04;0
1.40;2.72;200%;0.10;0
1.28;2.63;210%;0.05;0
1.36;2.95;220%;0.05;0
1.22;2.43;205%;0.07;0
1.23;2.43;206%;0.10;0
1.34;2.82;216%;0.07;0
1.22;2.45;208%;0.09;0
1.29;2.62;208%;0.08;0
1.21;2.46;206%;0.05;0
1.41;3.14;225%;0.05;0
1.23;2.45;204%;0.07;0
1.22;2.49;207%;0.04;0
1.22;2.45;207%;0.08;0
1.36;2.89;218%;0.09;0
1.22;2.47;206%;0.06;0
1.41;3.13;226%;0.07;0
1.24;2.48;206%;0.07;0
1.43;3.17;226%;0.08;42
1.32;2.78;215%;0.08;0
1.30;2.73;216%;0.09;0
1.36;2.86;216%;0.08;0
1.41;3.07;224%;0.09;42
1.40;3.08;225%;0.08;42
1.43;3.08;222%;0.11;42
1.24;2.51;209%;0.08;0
1.37;2.97;220%;0.06;0
1.41;3.10;223%;0.06;42
1.27;2.61;209%;0.04;0
1.32;2.78;216%;0.08;0
1.45;3.18;223%;0.07;42
1.32;2.86;218%;0.04;0
1.22;2.50;208%;0.05;0
1.22;2.51;211%;0.07;0
1.27;2.60;209%;0.06;0
1.34;2.81;216%;0.09;0
1.41;3.06;223%;0.08;0
1.42;3.12;222%;0.06;42
1.22;2.46;207%;0.06;0
1.43;3.11;222%;0.08;42
1.23;2.50;208%;0.06;0
1.39;3.12;228%;0.05;42
1.43;3.13;223%;0.07;42
1.28;2.68;214%;0.06;0
1.23;2.47;207%;0.08;0
1.41;3.08;223%;0.09;42
1.22;2.47;206%;0.05;0
1.41;3.12;225%;0.08;42
1.42;3.09;222%;0.07;42
1.29;2.68;211%;0.06;0
1.41;3.09;224%;0.08;42
1.42;3.11;225%;0.09;42
1.23;2.50;207%;0.05;0
1.39;3.03;223%;0.08;42
1.41;3.09;224%;0.09;42
1.39;2.95;219%;0.10;0
1.21;2.46;206%;0.04;0
1.38;3.00;224%;0.09;0
1.30;2.64;209%;0.08;0
1.21;2.49;209%;0.05;0
1.44;3.19;224%;0.04;0
1.42;3.12;225%;0.07;42
1.26;2.66;214%;0.06;0
1.27;2.61;211%;0.08;0
1.27;2.63;212%;0.07;0
1.32;2.81;217%;0.05;0
1.22;2.48;208%;0.06;0
1.41;3.08;223%;0.08;0
1.40;3.04;224%;0.10;42
1.39;3.08;226%;0.08;42
1.22;2.48;207%;0.06;0
1.41;3.10;224%;0.07;0
1.22;2.44;207%;0.08;0
1.42;3.10;226%;0.11;42
1.40;3.08;225%;0.08;42
1.27;2.59;211%;0.09;0
1.43;3.12;223%;0.09;42
1.22;2.46;207%;0.07;0
1.43;3.14;222%;0.05;42
1.22;2.52;210%;0.06;0
1.22;2.45;208%;0.09;0
1.26;2.60;211%;0.06;0
1.35;2.95;221%;0.04;0
1.27;2.60;210%;0.07;0
1.27;2.60;211%;0.08;0
1.35;2.96;222%;0.06;0
1.40;3.05;223%;0.09;42
1.41;3.10;226%;0.09;0
1.21;2.47;209%;0.06;0
1.26;2.64;211%;0.04;0
1.22;2.49;208%;0.06;0
1.22;2.41;204%;0.08;0
1.38;3.04;225%;0.08;0
1.27;2.61;211%;0.07;0
1.32;2.82;219%;0.08;0
1.41;3.11;225%;0.08;42
