Real;User;CPU%;System;Exit
1.40;2.44;191%;0.23;0
1.39;2.46;190%;0.19;0
1.39;2.45;188%;0.18;0
1.39;2.41;189%;0.22;0
1.38;2.34;187%;0.25;0
1.47;2.48;182%;0.20;0
1.38;2.37;188%;0.24;0
1.38;2.36;187%;0.22;0
1.39;2.48;192%;0.21;0
1.40;2.46;189%;0.21;0
1.39;2.37;188%;0.26;0
1.40;2.40;187%;0.22;0
1.39;2.42;189%;0.21;0
1.39;2.44;188%;0.18;0
1.38;2.42;190%;0.22;0
1.41;2.41;188%;0.24;0
1.40;2.42;187%;0.20;0
1.39;2.39;190%;0.25;0
1.39;2.43;189%;0.21;0
1.39;2.40;190%;0.25;0
1.39;2.47;190%;0.17;0
1.38;2.44;190%;0.20;0
1.40;2.47;191%;0.21;0
1.38;2.42;190%;0.21;0
1.39;2.38;189%;0.25;0
1.39;2.43;189%;0.20;0
1.40;2.48;190%;0.18;0
1.39;2.44;188%;0.17;0
1.39;2.45;191%;0.22;0
1.39;2.42;190%;0.22;0
1.39;2.44;191%;0.22;0
1.38;2.30;186%;0.28;0
1.39;2.46;189%;0.17;0
1.38;2.38;188%;0.21;0
1.40;2.43;188%;0.21;0
1.38;2.39;187%;0.19;0
1.37;2.32;187%;0.25;0
1.41;2.45;192%;0.27;0
1.38;2.43;190%;0.20;0
1.40;2.40;187%;0.21;0
1.39;2.45;189%;0.18;0
1.39;2.44;190%;0.20;0
1.40;2.40;188%;0.23;0
1.38;2.38;188%;0.23;0
1.39;2.41;191%;0.25;0
1.39;2.37;188%;0.26;0
1.39;2.43;190%;0.23;0
1.39;2.42;189%;0.20;0
1.41;2.46;187%;0.18;0
1.39;2.42;190%;0.22;0
1.39;2.46;193%;0.23;0
1.39;2.46;190%;0.20;0
1.39;2.34;188%;0.27;0
1.39;2.39;188%;0.24;0
1.40;2.40;187%;0.21;0
1.40;2.42;186%;0.20;0
1.40;2.41;189%;0.24;0
1.40;2.42;189%;0.22;0
1.38;2.42;188%;0.18;0
1.39;2.42;187%;0.20;0
1.37;2.38;189%;0.21;0
1.40;2.41;187%;0.21;0
1.38;2.29;186%;0.28;0
1.39;2.44;189%;0.18;0
1.37;2.33;186%;0.22;0
1.40;2.44;190%;0.22;0
1.39;2.45;189%;0.18;0
1.38;2.36;186%;0.23;0
1.38;2.44;190%;0.18;0
1.38;2.45;189%;0.17;0
1.39;2.39;188%;0.22;0
1.39;2.49;188%;0.14;0
1.39;2.37;188%;0.24;0
1.39;2.40;189%;0.23;0
1.39;2.41;189%;0.22;0
1.40;2.38;189%;0.27;0
1.40;2.47;190%;0.19;0
1.39;2.38;186%;0.22;0
1.40;2.41;188%;0.22;0
1.40;2.44;187%;0.17;0
1.39;2.43;188%;0.20;0
1.38;2.39;186%;0.19;0
1.39;2.42;188%;0.19;0
1.39;2.45;190%;0.20;0
1.40;2.40;190%;0.26;0
1.39;2.45;187%;0.16;0
1.39;2.42;187%;0.18;0
1.40;2.47;190%;0.19;0
1.39;2.42;190%;0.22;0
1.40;2.39;187%;0.24;0
1.40;2.37;189%;0.28;0
1.40;2.42;188%;0.22;0
1.40;2.44;189%;0.20;0
1.39;2.41;189%;0.22;0
1.38;2.36;188%;0.24;0
1.39;2.34;187%;0.27;0
1.39;2.40;190%;0.25;0
1.39;2.43;188%;0.18;0
1.39;2.41;188%;0.20;0
1.39;2.38;189%;0.26;0
