Real;User;CPU%;System;Exit
2.31;4.77;218%;0.27;0
2.33;4.83;219%;0.28;0
2.34;4.94;219%;0.20;0
2.32;4.70;214%;0.28;0
2.32;4.63;210%;0.26;0
2.36;4.85;216%;0.25;0
2.38;4.89;219%;0.33;0
2.36;4.89;218%;0.27;0
2.36;4.92;219%;0.26;0
2.34;4.93;223%;0.29;0
2.33;4.84;218%;0.26;0
2.32;4.73;214%;0.24;0
2.36;4.83;216%;0.27;0
2.36;4.93;221%;0.28;0
2.33;4.82;220%;0.31;0
2.31;4.66;214%;0.29;0
2.37;4.90;216%;0.24;0
2.34;4.99;220%;0.18;0
2.38;4.96;219%;0.27;0
2.36;4.88;217%;0.27;0
2.39;5.05;223%;0.28;0
2.35;4.84;215%;0.22;0
2.38;4.96;219%;0.26;0
2.33;4.83;216%;0.20;0
2.41;5.07;222%;0.29;0
2.34;4.83;217%;0.25;0
2.36;4.87;217%;0.26;0
2.41;5.05;218%;0.20;0
2.42;5.04;216%;0.20;0
2.35;4.92;221%;0.29;0
2.35;4.89;217%;0.22;0
2.34;4.87;217%;0.21;0
2.36;4.77;213%;0.26;0
2.34;4.84;217%;0.26;0
2.34;4.77;215%;0.26;0
2.39;5.07;217%;0.15;0
2.36;5.00;220%;0.23;0
2.32;4.70;213%;0.26;0
2.33;4.90;220%;0.24;0
2.37;5.03;222%;0.24;0
2.33;4.86;218%;0.24;0
2.31;4.66;214%;0.30;0
2.36;4.88;216%;0.25;0
2.34;4.84;219%;0.29;0
2.33;4.78;216%;0.28;0
2.37;4.90;216%;0.23;0
2.35;4.87;217%;0.24;0
2.35;5.02;226%;0.28;0
2.36;4.87;216%;0.26;0
2.36;4.87;215%;0.22;0
2.39;5.01;219%;0.24;0
2.37;4.94;219%;0.28;0
2.36;5.09;225%;0.22;0
2.33;4.93;222%;0.26;0
2.36;4.87;217%;0.29;0
2.33;4.66;210%;0.27;0
2.34;4.78;216%;0.28;0
2.34;4.84;216%;0.24;0
2.31;4.72;215%;0.27;0
2.36;4.85;215%;0.24;0
2.37;4.90;219%;0.31;0
2.33;4.74;216%;0.31;0
2.34;4.78;215%;0.25;0
2.32;4.77;214%;0.21;0
2.37;4.80;215%;0.31;0
2.34;4.77;217%;0.32;0
2.37;4.88;218%;0.32;0
2.32;4.80;216%;0.23;0
2.34;4.80;215%;0.25;0
2.32;4.80;219%;0.30;0
2.36;4.87;218%;0.29;0
2.36;4.92;220%;0.29;0
2.35;4.74;214%;0.31;0
2.34;4.84;220%;0.30;0
2.36;4.93;219%;0.26;0
2.38;4.91;217%;0.25;0
2.36;4.90;218%;0.26;0
2.35;4.90;220%;0.30;0
2.35;4.85;219%;0.31;0
2.33;4.84;219%;0.29;0
2.33;4.85;219%;0.25;0
2.33;4.82;216%;0.24;0
2.33;4.81;215%;0.22;0
2.33;4.78;218%;0.30;0
2.37;4.98;222%;0.30;0
2.34;4.85;216%;0.20;0
2.31;4.75;218%;0.29;0
2.35;4.87;216%;0.22;0
2.36;4.84;218%;0.30;0
2.33;4.82;217%;0.24;0
2.36;4.90;218%;0.26;0
2.34;4.84;216%;0.23;0
2.35;4.86;219%;0.31;0
2.32;4.74;217%;0.31;0
2.34;4.75;215%;0.30;0
2.35;4.89;220%;0.29;0
2.37;4.95;219%;0.26;0
2.33;4.72;215%;0.30;0
2.33;4.87;219%;0.26;0
2.35;4.96;222%;0.27;0
