Real;User;CPU%;System;Exit
1.49;2.63;189%;0.19;0
1.66;2.62;171%;0.23;0
1.49;2.58;185%;0.18;0
1.63;2.44;166%;0.27;0
1.73;2.53;158%;0.22;0
1.43;2.50;189%;0.21;0
1.42;2.49;191%;0.23;0
1.43;2.46;188%;0.24;0
1.42;2.49;192%;0.24;0
1.43;2.54;189%;0.18;0
1.41;2.55;194%;0.20;0
1.41;2.53;192%;0.18;0
1.40;2.45;191%;0.22;0
1.42;2.47;191%;0.25;0
1.41;2.52;193%;0.21;0
1.40;2.50;191%;0.17;0
1.40;2.52;193%;0.20;0
1.41;2.45;190%;0.24;0
1.42;2.55;194%;0.21;0
1.39;2.49;191%;0.19;0
1.40;2.45;192%;0.25;0
1.40;2.48;192%;0.22;0
1.41;2.47;191%;0.22;0
1.40;2.49;191%;0.19;0
1.41;2.48;191%;0.23;0
1.40;2.52;193%;0.20;0
1.41;2.51;195%;0.24;0
1.41;2.49;193%;0.23;0
1.40;2.43;191%;0.24;0
1.40;2.51;190%;0.17;0
1.41;2.52;191%;0.18;0
1.41;2.48;191%;0.22;0
1.41;2.48;193%;0.25;0
1.40;2.44;191%;0.25;0
1.40;2.46;190%;0.22;0
1.41;2.50;192%;0.21;0
1.41;2.53;194%;0.21;0
1.40;2.48;191%;0.21;0
1.42;2.56;193%;0.19;0
1.41;2.52;193%;0.20;0
1.41;2.49;194%;0.26;0
1.40;2.49;191%;0.19;0
1.42;2.49;192%;0.25;0
1.40;2.43;190%;0.23;0
1.41;2.53;193%;0.19;0
1.40;2.51;193%;0.21;0
1.41;2.46;191%;0.25;0
1.41;2.57;193%;0.17;0
1.42;2.52;192%;0.21;0
1.40;2.46;189%;0.19;0
1.42;2.54;191%;0.17;0
1.40;2.52;193%;0.19;0
1.43;2.55;195%;0.24;0
1.41;2.48;190%;0.20;0
1.41;2.51;193%;0.23;0
1.41;2.51;192%;0.22;0
1.40;2.46;193%;0.24;0
1.43;2.55;192%;0.20;0
1.41;2.52;193%;0.21;0
1.41;2.47;191%;0.22;0
1.42;2.55;192%;0.18;0
1.41;2.47;193%;0.26;0
1.41;2.43;192%;0.28;0
1.41;2.57;194%;0.17;0
1.42;2.49;193%;0.25;0
1.40;2.46;191%;0.21;0
1.41;2.50;193%;0.23;0
1.40;2.51;193%;0.19;0
1.40;2.49;192%;0.22;0
1.38;2.41;191%;0.23;0
1.41;2.50;191%;0.20;0
1.41;2.51;192%;0.22;0
1.41;2.56;193%;0.18;0
1.40;2.46;191%;0.24;0
1.40;2.49;194%;0.22;0
1.40;2.59;196%;0.16;0
1.40;2.45;192%;0.25;0
1.41;2.50;192%;0.20;0
1.41;2.51;191%;0.20;0
1.42;2.54;193%;0.21;0
1.41;2.46;192%;0.25;0
1.41;2.45;190%;0.24;0
1.41;2.57;195%;0.17;0
1.41;2.57;194%;0.17;0
1.42;2.47;191%;0.24;0
1.40;2.51;192%;0.19;0
1.41;2.44;191%;0.27;0
1.41;2.55;192%;0.17;0
1.41;2.45;190%;0.24;0
1.41;2.55;193%;0.17;0
1.40;2.49;190%;0.19;0
1.40;2.57;193%;0.14;0
1.41;2.43;190%;0.25;0
1.42;2.54;191%;0.17;0
1.39;2.51;191%;0.17;0
1.41;2.51;190%;0.17;0
1.41;2.48;190%;0.21;0
1.41;2.47;192%;0.25;0
1.40;2.54;193%;0.18;0
1.41;2.58;196%;0.19;0
1.40;2.46;190%;0.22;0
1.42;2.53;192%;0.21;0
1.42;2.55;193%;0.20;0
1.40;2.42;190%;0.26;0
1.40;2.48;191%;0.19;0
