Real;User;CPU%;System;Exit
1.89;3.09;167%;0.06;0
1.85;3.03;168%;0.08;0
1.69;2.99;179%;0.04;0
1.73;3.08;183%;0.08;0
1.53;2.96;195%;0.04;0
1.38;2.99;222%;0.07;0
1.36;2.96;224%;0.09;0
1.36;2.92;221%;0.08;0
1.36;2.96;222%;0.06;0
1.35;2.92;221%;0.07;0
1.38;3.00;221%;0.07;0
1.39;3.00;221%;0.08;0
1.37;3.04;224%;0.03;0
1.36;3.02;225%;0.06;0
1.34;2.93;223%;0.08;0
1.37;2.94;220%;0.07;0
1.35;2.97;226%;0.09;0
1.36;3.00;227%;0.09;0
1.37;2.99;222%;0.06;0
1.36;3.00;225%;0.06;0
1.36;2.97;222%;0.06;0
1.36;2.94;222%;0.09;0
1.42;3.03;222%;0.12;0
1.38;3.02;223%;0.06;0
1.38;2.94;220%;0.09;0
1.40;3.05;222%;0.07;0
1.36;2.93;221%;0.08;0
1.37;2.98;224%;0.08;0
1.37;2.97;225%;0.13;0
1.36;2.99;224%;0.06;0
1.36;2.97;223%;0.08;0
1.36;2.98;223%;0.06;0
1.38;3.01;223%;0.08;0
1.38;2.96;222%;0.11;0
1.35;2.90;221%;0.09;0
1.38;3.00;224%;0.10;0
1.36;2.96;223%;0.08;0
1.39;3.05;224%;0.08;0
1.38;2.96;223%;0.12;0
1.37;2.99;223%;0.08;0
1.38;3.04;226%;0.08;0
1.36;2.92;221%;0.10;0
1.36;3.04;227%;0.06;0
1.36;3.04;226%;0.06;0
1.37;3.00;223%;0.07;0
1.37;3.06;227%;0.06;0
1.39;2.94;221%;0.12;0
1.36;2.92;221%;0.08;0
1.36;3.01;222%;0.02;0
1.35;2.94;223%;0.08;0
1.36;2.98;223%;0.06;0
1.36;2.94;221%;0.08;0
1.39;3.04;223%;0.07;0
1.39;3.00;222%;0.08;0
1.39;3.01;220%;0.06;0
1.36;2.98;224%;0.07;0
1.36;3.04;225%;0.04;0
1.37;3.01;226%;0.09;0
1.40;3.03;222%;0.08;0
1.37;3.03;225%;0.07;0
1.37;3.03;225%;0.05;0
1.37;3.00;223%;0.06;0
1.39;3.03;221%;0.04;0
1.37;2.99;225%;0.09;0
1.37;3.01;224%;0.07;0
1.36;2.98;225%;0.09;0
1.38;3.03;222%;0.04;0
1.35;2.94;222%;0.07;0
1.37;3.02;225%;0.07;0
1.38;3.00;221%;0.06;0
1.37;3.02;224%;0.06;0
1.36;2.96;224%;0.09;0
1.36;2.95;223%;0.08;0
1.37;3.01;225%;0.08;0
1.38;3.01;223%;0.07;0
1.37;2.98;222%;0.07;0
1.38;3.01;222%;0.06;0
1.36;2.95;221%;0.07;0
1.35;2.93;221%;0.07;0
1.38;2.97;222%;0.09;0
1.37;3.02;223%;0.05;0
1.35;2.93;222%;0.07;0
1.37;2.97;221%;0.06;0
1.35;2.93;219%;0.05;0
1.36;2.98;224%;0.07;0
1.36;2.97;222%;0.06;0
1.36;2.94;222%;0.09;0
1.36;3.01;226%;0.07;0
1.38;3.02;223%;0.07;0
1.36;2.97;222%;0.06;0
1.36;3.01;225%;0.06;0
1.39;3.02;221%;0.05;0
1.36;3.03;227%;0.07;0
1.37;2.97;221%;0.07;0
1.38;3.00;223%;0.08;0
1.38;2.98;223%;0.11;0
1.38;3.02;224%;0.06;0
1.37;2.96;220%;0.06;0
1.35;2.93;224%;0.09;0
1.37;3.02;224%;0.07;0
