2.30;5.83;260%;0.16;0
2.74;7.07;263%;0.14;42
1.71;4.08;243%;0.10;0
2.83;7.09;267%;0.48;42
1.96;4.98;261%;0.16;0
1.84;4.51;251%;0.13;0
2.74;7.19;267%;0.13;42
1.76;4.32;251%;0.11;0
2.05;5.25;263%;0.15;0
2.56;6.61;264%;0.15;0
2.74;7.23;269%;0.16;0
1.54;3.61;241%;0.10;0
1.56;3.70;240%;0.06;0
2.52;6.45;261%;0.14;0
2.71;7.05;266%;0.19;42
2.17;5.56;262%;0.12;0
2.57;6.54;261%;0.18;0
2.49;6.42;263%;0.14;0
2.01;5.04;256%;0.13;0
2.70;7.05;266%;0.16;0
2.82;7.51;272%;0.17;42
2.79;7.27;266%;0.18;42
2.19;5.76;267%;0.10;0
2.08;5.41;266%;0.12;0
2.01;5.12;260%;0.12;0
2.79;7.08;260%;0.18;0
1.72;4.23;251%;0.09;0
2.13;5.45;261%;0.12;0
1.52;3.49;236%;0.10;0
1.54;3.59;238%;0.08;0
1.73;4.22;249%;0.10;0
2.03;5.18;261%;0.14;0
2.34;6.22;270%;0.11;0
1.75;4.25;247%;0.08;0
1.74;4.34;253%;0.07;0
1.53;3.59;239%;0.09;0
2.24;5.77;264%;0.14;0
2.03;5.19;263%;0.18;0
1.78;4.35;248%;0.08;0
2.63;6.72;263%;0.20;0
2.52;6.45;260%;0.11;0
1.94;4.86;254%;0.09;0
2.18;5.60;260%;0.08;0
2.75;7.21;266%;0.12;42
1.96;4.97;257%;0.09;0
2.71;6.83;256%;0.13;42
2.25;5.79;265%;0.18;0
2.06;5.17;256%;0.13;0
2.10;5.34;261%;0.15;0
2.33;5.87;258%;0.15;0
2.32;5.98;262%;0.11;0
2.69;6.96;265%;0.19;0
2.54;6.47;258%;0.10;0
2.11;5.40;263%;0.16;0
1.99;5.03;258%;0.12;0
2.33;6.04;265%;0.16;0
2.73;7.05;264%;0.19;42
2.04;5.27;264%;0.11;0
2.78;7.17;264%;0.20;42
2.33;6.07;265%;0.11;0
1.69;4.15;251%;0.11;0
2.09;5.32;262%;0.16;0
2.42;6.34;268%;0.15;0
2.68;7.16;273%;0.16;0
2.75;7.19;266%;0.14;42
2.74;7.18;266%;0.13;42
1.73;4.16;245%;0.10;0
2.53;6.62;265%;0.09;0
2.20;5.68;263%;0.14;0
1.75;4.16;243%;0.10;0
2.70;6.88;260%;0.14;42
1.86;4.61;253%;0.11;0
2.76;7.36;271%;0.13;42
2.75;6.99;258%;0.13;42
1.72;4.17;249%;0.11;0
2.26;5.86;264%;0.14;0
2.74;7.17;267%;0.16;42
2.75;7.11;264%;0.16;42
1.78;4.34;249%;0.11;0
1.53;3.61;241%;0.09;0
1.55;3.69;242%;0.07;0
2.53;6.52;263%;0.14;0
1.55;3.58;234%;0.06;0
2.43;6.51;272%;0.10;0
1.77;4.26;247%;0.13;0
1.75;4.29;249%;0.09;0
1.72;4.28;252%;0.08;0
2.15;5.46;260%;0.14;0
2.24;5.75;262%;0.13;0
1.53;3.65;245%;0.11;0
2.77;7.15;264%;0.17;42
1.53;3.63;242%;0.08;0
2.29;6.02;268%;0.13;0
1.55;3.69;242%;0.08;0
2.46;6.49;269%;0.12;0
1.95;4.97;260%;0.11;0
2.76;7.29;269%;0.17;42
2.19;5.56;260%;0.14;0
1.70;4.14;247%;0.08;0
2.78;7.09;262%;0.20;42
