1.48;2.67;197%;0.24;0
1.49;2.67;195%;0.24;0
1.48;2.65;194%;0.23;0
1.49;2.74;197%;0.19;0
1.51;2.68;194%;0.25;0
1.48;2.70;197%;0.22;0
1.48;2.73;197%;0.19;0
1.50;2.77;198%;0.20;0
1.50;2.76;197%;0.20;0
1.48;2.81;200%;0.15;0
1.48;2.65;195%;0.25;0
1.48;2.71;196%;0.20;0
1.50;2.78;198%;0.21;0
1.49;2.65;196%;0.28;0
1.48;2.73;198%;0.22;0
1.49;2.66;195%;0.24;0
1.47;2.59;194%;0.27;0
1.47;2.69;196%;0.20;0
1.48;2.71;197%;0.20;0
1.48;2.71;200%;0.27;0
1.47;2.64;196%;0.25;0
1.47;2.61;196%;0.27;0
1.49;2.76;198%;0.19;0
1.48;2.65;197%;0.27;0
1.47;2.65;196%;0.23;0
1.49;2.65;197%;0.29;0
1.48;2.71;198%;0.23;0
1.49;2.71;197%;0.23;0
1.48;2.67;197%;0.25;0
1.47;2.65;196%;0.24;0
1.47;2.76;200%;0.18;0
1.49;2.76;198%;0.20;0
1.48;2.72;199%;0.23;0
1.49;2.76;196%;0.17;0
1.48;2.69;196%;0.22;0
1.50;2.72;196%;0.22;0
1.47;2.74;199%;0.19;0
1.49;2.73;199%;0.24;0
1.47;2.71;197%;0.20;0
1.50;2.76;198%;0.20;0
1.48;2.63;196%;0.27;0
1.50;2.71;196%;0.24;0
1.47;2.71;198%;0.21;0
1.48;2.72;198%;0.23;0
1.47;2.67;196%;0.22;0
1.50;2.76;196%;0.19;0
1.50;2.73;197%;0.22;0
1.48;2.67;197%;0.26;0
1.47;2.60;194%;0.26;0
1.49;2.73;197%;0.22;0
1.48;2.73;198%;0.22;0
1.50;2.68;197%;0.27;0
1.48;2.68;197%;0.25;0
1.48;2.69;197%;0.23;0
1.48;2.75;198%;0.19;0
1.49;2.78;198%;0.18;0
1.48;2.68;196%;0.24;0
1.49;2.76;201%;0.24;0
1.48;2.69;197%;0.23;0
1.47;2.68;197%;0.24;0
1.48;2.74;196%;0.17;0
1.48;2.82;201%;0.16;0
1.49;2.72;196%;0.20;0
1.47;2.73;197%;0.18;0
1.48;2.66;195%;0.23;0
1.49;2.76;199%;0.21;0
1.49;2.63;197%;0.30;0
1.49;2.76;198%;0.21;0
1.49;2.67;195%;0.25;0
1.51;2.79;196%;0.18;0
1.50;2.77;197%;0.19;0
1.48;2.68;196%;0.23;0
1.48;2.72;198%;0.20;0
1.51;2.67;194%;0.26;0
1.48;2.71;198%;0.23;0
1.48;2.73;198%;0.20;0
1.47;2.73;200%;0.22;0
1.47;2.70;198%;0.23;0
1.47;2.61;196%;0.28;0
1.48;2.68;196%;0.22;0
1.49;2.68;195%;0.22;0
1.48;2.69;196%;0.23;0
1.48;2.58;193%;0.29;0
1.48;2.77;199%;0.19;0
1.49;2.70;196%;0.23;0
1.49;2.70;196%;0.24;0
1.48;2.64;196%;0.26;0
1.49;2.70;197%;0.26;0
1.48;2.68;196%;0.23;0
1.48;2.63;196%;0.27;0
1.47;2.71;197%;0.20;0
1.50;2.74;197%;0.23;0
1.50;2.81;199%;0.18;0
1.47;2.74;198%;0.19;0
1.50;2.74;198%;0.23;0
1.50;2.75;198%;0.22;0
1.48;2.70;197%;0.22;0
1.48;2.71;198%;0.24;0
1.49;2.67;196%;0.26;0
1.48;2.73;197%;0.20;0
