n,RG0-42,RG0-127,Rghalf-42,Rghalf-127,RG1-42,RG1-127
5,2.2327,,2.5528,,3.0891,
10,2.9886,,6.7916,,9.2896,
15,4.5107,,19.9704,,34.6075,
20,6.93,,89.2499,,183.8527,
25,15.0391,,397.8842,,1231.7176,
30,31.4035,,,,,
35,77.5432,,,,,

