Number;Breadth;Depth;RelationshipTypes;Concepts
5;2;1;5;60
10;2;1;10;220
15;2;1;15;480
20;2;1;20;840
25;2;1;25;1300
30;2;1;30;1860
35;2;1;35;2520
40;2;1;40;3280
