Real;User;CPU%;System;Exit
5.75;8.56;152%;0.22;0
5.90;8.59;150%;0.30;0
5.62;8.24;151%;0.28;0
5.72;8.26;149%;0.28;0
6.35;8.98;145%;0.23;0
6.36;8.75;142%;0.29;0
5.71;8.56;154%;0.26;0
5.15;8.03;161%;0.31;0
5.15;8.04;161%;0.27;0
5.72;7.99;144%;0.25;0
5.02;8.03;165%;0.29;0
5.02;8.12;167%;0.28;0
4.90;7.80;165%;0.33;0
5.82;8.77;156%;0.33;0
5.54;8.54;158%;0.22;0
4.23;6.76;165%;0.25;0
4.74;7.11;156%;0.28;0
4.21;6.70;164%;0.23;0
4.29;6.87;165%;0.24;0
4.78;7.21;155%;0.24;0
4.17;6.64;165%;0.25;0
4.36;6.89;164%;0.26;0
4.20;6.80;167%;0.21;0
4.79;7.30;158%;0.28;0
4.42;6.99;163%;0.24;0
4.22;6.75;166%;0.29;0
4.80;7.30;157%;0.24;0
4.76;7.27;157%;0.25;0
4.81;7.25;156%;0.28;0
4.83;7.40;158%;0.27;0
4.25;6.74;164%;0.25;0
4.20;6.89;169%;0.22;0
4.38;6.91;164%;0.28;0
4.81;7.34;158%;0.27;0
4.80;7.41;159%;0.24;0
4.44;7.00;162%;0.23;0
4.76;7.20;156%;0.23;0
4.22;6.75;165%;0.23;0
4.25;6.82;165%;0.23;0
4.81;7.51;159%;0.16;0
4.28;6.88;166%;0.23;0
4.40;6.73;158%;0.26;0
4.23;6.86;168%;0.27;0
4.78;7.18;154%;0.21;0
4.80;7.30;156%;0.24;0
4.23;6.69;163%;0.21;0
4.72;7.21;156%;0.20;0
4.19;6.69;165%;0.23;0
4.26;6.72;164%;0.27;0
4.75;7.26;157%;0.23;0
4.39;6.86;162%;0.25;0
4.19;6.58;163%;0.26;0
4.77;7.37;160%;0.27;0
4.23;6.61;162%;0.24;0
4.27;6.79;164%;0.22;0
4.21;6.63;163%;0.26;0
4.85;7.51;160%;0.26;0
4.26;6.80;165%;0.25;0
4.21;6.64;163%;0.26;0
4.19;6.80;168%;0.26;0
4.84;7.45;159%;0.25;0
4.28;6.77;164%;0.27;0
4.23;6.61;163%;0.32;0
4.43;6.94;162%;0.26;0
4.20;6.54;162%;0.29;0
4.82;7.45;159%;0.23;0
4.17;6.76;169%;0.30;0
4.38;6.84;162%;0.29;0
4.38;6.75;160%;0.28;0
4.80;7.52;160%;0.19;0
4.75;7.15;156%;0.25;0
4.85;7.46;159%;0.27;0
4.78;7.38;159%;0.22;0
4.81;7.41;158%;0.23;0
4.21;6.71;165%;0.26;0
4.80;7.20;155%;0.25;0
4.83;7.31;156%;0.25;0
4.22;6.70;164%;0.25;0
4.22;6.67;163%;0.24;0
4.84;7.47;159%;0.24;0
4.23;6.51;160%;0.28;0
4.27;6.83;165%;0.24;0
4.82;7.35;156%;0.21;0
4.19;6.58;163%;0.27;0
4.76;7.31;158%;0.22;0
4.24;6.81;167%;0.28;0
4.79;7.20;155%;0.23;0
4.81;7.25;156%;0.30;0
4.78;7.17;155%;0.26;0
4.44;6.89;161%;0.25;0
4.78;7.31;157%;0.23;0
4.20;6.75;167%;0.27;0
4.81;7.34;158%;0.26;0
4.21;6.70;165%;0.27;0
4.85;7.36;156%;0.26;0
4.26;6.85;166%;0.23;0
4.17;6.62;165%;0.27;0
4.37;6.70;161%;0.33;0
4.28;6.89;166%;0.22;0
4.76;7.23;157%;0.27;0
4.21;6.65;164%;0.29;0
4.83;7.49;160%;0.25;0
4.81;7.24;155%;0.26;0
4.75;7.29;158%;0.24;0
4.76;7.18;157%;0.29;0
4.82;7.40;159%;0.27;0
4.75;7.18;156%;0.25;0
4.85;7.40;157%;0.25;0
4.76;7.20;157%;0.27;0
4.84;7.41;157%;0.23;0
