Number;Breadth;Depth;RelationshipTypes;Concepts
5;2;1;0;35
10;2;1;0;120
15;2;1;0;255
20;2;1;0;440
25;2;1;0;675
30;2;1;0;960
35;2;1;0;1295
40;2;1;0;1680
45;2;1;0;2115
5;2;1;0;35
10;2;1;0;120
15;2;1;0;255
20;2;1;0;440
25;2;1;0;675
30;2;1;0;960
35;2;1;0;1295
40;2;1;0;1680
45;2;1;0;2115
50;2;1;0;2600
