Real;User;CPU%;System;Exit
1.29;2.36;189%;0.09;0
1.18;2.35;202%;0.04;0
1.18;2.32;200%;0.06;0
1.18;2.34;205%;0.08;0
1.27;2.65;213%;0.06;0
1.17;2.34;204%;0.07;0
1.23;2.50;207%;0.06;0
1.24;2.53;208%;0.06;0
1.16;2.31;201%;0.04;0
1.23;2.54;210%;0.05;0
1.23;2.47;206%;0.07;0
1.28;2.67;214%;0.07;0
1.18;2.32;203%;0.08;0
1.18;2.36;204%;0.06;0
1.23;2.51;208%;0.06;0
1.18;2.32;201%;0.06;0
1.19;2.39;204%;0.05;0
1.18;2.35;203%;0.04;0
1.23;2.51;208%;0.06;0
1.17;2.32;202%;0.04;0
1.23;2.50;208%;0.06;0
1.25;2.51;205%;0.06;0
1.17;2.30;202%;0.07;0
1.18;2.33;203%;0.08;0
1.31;2.77;216%;0.08;0
1.23;2.54;210%;0.06;0
1.17;2.36;205%;0.06;0
1.19;2.32;202%;0.09;0
1.18;2.35;203%;0.06;0
1.18;2.30;202%;0.08;0
1.26;2.56;206%;0.05;0
1.18;2.30;202%;0.09;0
1.18;2.41;206%;0.03;0
1.17;2.31;202%;0.06;0
1.35;2.92;220%;0.07;0
1.28;2.70;214%;0.04;0
1.18;2.36;204%;0.06;0
1.18;2.31;202%;0.07;0
1.20;2.33;199%;0.06;0
1.30;2.63;210%;0.10;0
1.17;2.38;206%;0.04;0
1.19;2.38;205%;0.07;0
1.24;2.50;207%;0.08;0
1.18;2.35;204%;0.07;0
1.20;2.33;202%;0.09;0
1.28;2.67;213%;0.07;0
1.18;2.28;201%;0.10;0
1.17;2.31;205%;0.10;0
1.23;2.48;206%;0.06;0
1.18;2.33;204%;0.08;0
1.18;2.36;204%;0.06;0
1.17;2.33;205%;0.07;0
1.18;2.29;201%;0.09;0
1.18;2.35;205%;0.07;0
1.18;2.31;203%;0.08;0
1.21;2.40;204%;0.08;0
1.17;2.33;204%;0.06;0
1.19;2.34;202%;0.07;0
1.21;2.37;202%;0.07;0
1.19;2.37;203%;0.05;0
1.17;2.35;206%;0.07;0
1.18;2.29;201%;0.08;0
1.18;2.35;205%;0.08;0
1.18;2.36;206%;0.07;0
1.19;2.36;202%;0.05;0
1.17;2.31;202%;0.06;0
1.18;2.37;204%;0.05;0
1.24;2.51;205%;0.05;0
1.18;2.37;206%;0.05;0
1.22;2.45;208%;0.09;0
1.23;2.50;206%;0.05;0
1.23;2.50;208%;0.06;0
1.17;2.35;206%;0.07;0
1.18;2.35;203%;0.07;0
1.23;2.50;208%;0.07;0
1.24;2.49;206%;0.07;0
1.23;2.45;206%;0.09;0
1.18;2.33;203%;0.06;0
1.17;2.36;205%;0.05;0
1.20;2.38;202%;0.06;0
1.18;2.33;203%;0.07;0
1.19;2.35;204%;0.07;0
1.18;2.39;206%;0.04;0
1.18;2.29;201%;0.08;0
1.28;2.64;211%;0.07;0
1.18;2.30;202%;0.08;0
1.18;2.36;205%;0.06;0
1.17;2.36;206%;0.06;0
1.18;2.28;199%;0.06;0
1.18;2.31;203%;0.08;0
1.18;2.32;203%;0.09;0
1.18;2.31;202%;0.07;0
1.16;2.35;207%;0.05;0
1.20;2.34;200%;0.06;0
1.17;2.35;206%;0.08;0
1.18;2.34;203%;0.06;0
1.20;2.35;200%;0.06;0
1.23;2.48;208%;0.08;0
1.19;2.37;204%;0.06;0
1.20;2.37;203%;0.05;0
