Real;User;CPU%;System;Exit
1.79;3.71;218%;0.20;0
1.79;3.63;217%;0.26;0
1.79;3.66;217%;0.23;0
1.78;3.68;217%;0.19;0
1.78;3.67;218%;0.22;0
1.79;3.58;213%;0.25;0
1.80;3.70;217%;0.22;0
1.78;3.71;217%;0.17;0
1.80;3.67;219%;0.27;0
1.79;3.71;219%;0.22;0
1.79;3.68;220%;0.26;0
1.81;3.75;220%;0.24;0
1.79;3.74;221%;0.23;0
1.79;3.59;215%;0.27;0
1.78;3.64;218%;0.25;0
1.78;3.69;219%;0.23;0
1.76;3.61;216%;0.21;0
1.78;3.65;218%;0.23;0
1.78;3.65;218%;0.24;0
1.78;3.63;219%;0.27;0
1.76;3.68;218%;0.17;0
1.80;3.66;216%;0.23;0
1.78;3.66;217%;0.21;0
1.78;3.61;217%;0.26;0
1.79;3.73;219%;0.19;0
1.79;3.58;215%;0.27;0
1.80;3.76;220%;0.21;0
1.77;3.62;217%;0.22;0
1.78;3.66;218%;0.23;0
1.78;3.61;216%;0.25;0
1.78;3.73;220%;0.21;0
1.76;3.62;217%;0.23;0
1.78;3.61;219%;0.30;0
1.78;3.70;220%;0.23;0
1.80;3.66;216%;0.24;0
1.76;3.57;217%;0.26;0
1.78;3.57;217%;0.30;0
1.79;3.65;219%;0.27;0
1.80;3.64;215%;0.24;0
1.75;3.62;219%;0.22;0
1.77;3.58;214%;0.22;0
1.78;3.63;216%;0.22;0
1.76;3.58;215%;0.22;0
1.78;3.57;214%;0.25;0
1.78;3.67;219%;0.23;0
1.79;3.69;219%;0.25;0
1.79;3.71;219%;0.22;0
1.79;3.74;219%;0.21;0
1.79;3.69;219%;0.24;0
1.79;3.70;218%;0.22;0
1.81;3.72;219%;0.25;0
1.79;3.64;217%;0.25;0
1.81;3.76;219%;0.22;0
1.76;3.61;217%;0.21;0
1.80;3.73;219%;0.22;0
1.76;3.60;218%;0.25;0
1.76;3.56;215%;0.24;0
1.78;3.70;220%;0.23;0
1.78;3.64;217%;0.21;0
1.79;3.68;218%;0.24;0
1.78;3.68;218%;0.21;0
1.77;3.64;217%;0.21;0
1.78;3.64;219%;0.27;0
1.79;3.70;221%;0.27;0
1.78;3.71;219%;0.20;0
1.77;3.64;218%;0.22;0
1.79;3.64;218%;0.26;0
1.77;3.64;219%;0.24;0
1.78;3.66;217%;0.21;0
1.77;3.68;220%;0.24;0
1.80;3.63;216%;0.27;0
1.76;3.61;215%;0.18;0
1.77;3.60;216%;0.22;0
1.80;3.74;220%;0.22;0
1.79;3.70;218%;0.21;0
1.80;3.73;218%;0.20;0
1.77;3.53;216%;0.31;0
1.78;3.70;218%;0.20;0
1.78;3.67;220%;0.25;0
1.77;3.65;218%;0.23;0
1.75;3.56;214%;0.19;0
1.78;3.69;218%;0.20;0
1.80;3.67;216%;0.23;0
1.79;3.67;216%;0.21;0
1.80;3.76;220%;0.21;0
1.79;3.65;217%;0.25;0
1.80;3.69;216%;0.21;0
1.77;3.67;218%;0.20;0
1.81;3.67;216%;0.23;0
1.78;3.64;219%;0.26;0
1.79;3.74;218%;0.18;0
1.76;3.59;217%;0.24;0
1.77;3.68;217%;0.18;0
1.80;3.68;218%;0.25;0
1.79;3.61;217%;0.29;0
1.76;3.59;217%;0.24;0
1.79;3.69;218%;0.21;0
1.79;3.65;216%;0.22;0
1.78;3.67;218%;0.22;0
1.77;3.61;218%;0.24;0
