3.32;6.34;200%;0.32;0
3.19;6.01;196%;0.26;0
3.30;6.17;194%;0.25;0
3.20;6.03;197%;0.29;0
3.15;5.93;197%;0.30;0
3.30;6.09;191%;0.25;0
3.17;6.09;199%;0.25;0
3.29;6.13;194%;0.27;0
3.19;6.03;198%;0.30;0
3.29;6.11;192%;0.22;0
3.36;6.69;207%;0.28;0
3.28;6.40;202%;0.24;0
3.33;6.19;195%;0.31;0
3.38;6.66;207%;0.35;0
3.26;5.98;191%;0.25;0
3.20;6.12;200%;0.29;0
3.28;6.03;191%;0.25;0
3.16;6.00;197%;0.23;0
3.31;6.49;205%;0.29;0
3.19;6.04;197%;0.27;0
3.20;6.18;200%;0.25;0
3.20;6.08;198%;0.26;0
3.19;6.02;197%;0.28;0
3.32;6.56;207%;0.33;0
3.31;6.15;194%;0.27;0
3.27;5.98;189%;0.24;0
3.21;6.09;197%;0.27;0
3.29;6.03;191%;0.27;0
3.17;5.99;195%;0.23;0
3.27;6.26;201%;0.35;0
3.14;5.87;195%;0.28;0
3.29;6.38;201%;0.23;0
3.22;6.22;200%;0.23;0
3.19;5.98;196%;0.28;0
3.21;6.09;198%;0.27;0
3.16;5.94;196%;0.27;0
3.14;5.87;196%;0.30;0
3.30;6.43;203%;0.28;0
3.29;6.11;194%;0.29;0
3.30;6.21;194%;0.22;0
3.21;6.07;197%;0.29;0
3.37;6.66;204%;0.22;0
3.28;6.12;193%;0.24;0
3.14;5.89;197%;0.32;0
3.28;6.01;192%;0.29;0
3.29;6.06;193%;0.30;0
3.16;5.86;196%;0.33;0
3.20;6.05;197%;0.28;0
3.17;5.92;196%;0.31;0
3.19;6.02;198%;0.31;0
3.20;6.08;199%;0.30;0
3.18;6.01;198%;0.31;0
3.31;6.37;201%;0.30;0
3.16;6.03;198%;0.23;0
3.16;5.95;196%;0.27;0
3.29;6.14;194%;0.25;0
3.23;6.22;200%;0.27;0
3.15;5.86;194%;0.27;0
3.17;6.08;199%;0.25;0
3.12;5.76;195%;0.35;0
3.25;6.14;198%;0.31;0
3.22;6.21;199%;0.22;0
3.18;5.94;196%;0.31;0
3.19;5.99;197%;0.32;0
3.20;6.08;198%;0.28;0
3.16;5.91;195%;0.29;0
3.29;6.15;194%;0.25;0
3.17;6.03;197%;0.24;0
3.20;6.13;200%;0.28;0
3.27;6.10;193%;0.23;0
3.28;6.28;198%;0.25;0
3.20;6.12;199%;0.27;0
3.21;6.19;199%;0.21;0
3.19;6.03;197%;0.27;0
3.28;6.13;194%;0.25;0
3.17;5.94;195%;0.27;0
3.19;6.04;198%;0.31;0
3.18;5.97;195%;0.27;0
3.19;6.06;198%;0.26;0
3.14;5.86;194%;0.25;0
3.32;6.11;191%;0.25;0
3.29;6.09;193%;0.30;0
3.18;5.88;194%;0.30;0
3.17;6.06;198%;0.25;0
3.19;6.09;199%;0.28;0
3.36;6.19;194%;0.33;0
3.21;6.09;198%;0.27;0
3.16;5.98;198%;0.28;0
3.16;5.98;197%;0.26;0
3.21;6.08;198%;0.28;0
3.32;6.50;203%;0.26;0
3.16;5.80;193%;0.30;0
3.21;6.14;199%;0.26;0
3.28;6.12;194%;0.26;0
3.17;5.98;196%;0.26;0
3.19;6.09;198%;0.23;0
3.18;5.95;197%;0.33;0
3.27;6.01;190%;0.21;0
3.29;6.10;193%;0.25;0
3.17;5.98;195%;0.23;0
